date,stateId,stateName,confidence,distance,close,volatilityMultiple,volumeMultiple,trendScore,resonanceCount,middleDeviationRate,middleDeviationAtr,middlePositionPct,maDeviationRate,maDeviationAtr,maPositionPct,stretchHeat
2024-08-23,6,上侧趋势共振态,0.2582,3.2601,63982.6,1.3799,0.9592,5.9944,3,12.2451,2.5475,74.7671,6.1523,1.3534,20.019,54.7481
2024-08-24,6,上侧趋势共振态,0.2828,2.9043,64133,0.576,0.4305,6.0531,3,12.5089,2.6873,76.7668,6.2457,1.4209,20.4989,56.2678
2024-08-25,6,上侧趋势共振态,0.4045,1.9834,63535,0.7584,0.8163,7.3331,3,8.0309,1.8131,64.2595,5.1081,1.1853,18.8228,45.4367
2024-08-26,8,过渡混合态,0.0659,2.0984,61698.6,0.9387,1.0928,4.2154,3,3.1255,0.7212,48.6372,1.9423,0.4534,13.6149,37.7479
2024-08-27,0,放量波动扩张态,0.0244,3.2657,59003.9,1.5797,1.5057,-0.2489,2,-1.3785,-0.3039,33.9701,-2.6069,-0.582,6.2475,59.7825
2024-08-28,8,过渡混合态,0.2446,2.2633,60779.9,1.2277,1.0316,1.3433,3,0.3409,0.0748,39.388,0.2258,0.0496,10.7413,49.8707
2024-08-29,2,下侧趋势共振态,0.4863,1.6186,58094,1.0914,1.1314,-4.6656,4,-4.0932,-0.8913,25.5657,-4.2882,-0.9357,3.7307,70.7036
2024-08-30,2,下侧趋势共振态,0.2477,2.1272,59017.9,0.6701,0.5259,-4.0589,4,-2.568,-0.5734,30.1147,-2.85,-0.6382,5.8475,64.0379
2024-08-31,2,下侧趋势共振态,0.4658,1.7121,58220.1,0.7548,0.6614,-5.9001,4,-3.885,-0.8838,25.673,-4.2562,-0.972,3.4721,70.8548
2024-09-01,2,下侧趋势共振态,0.4136,1.7924,58539.4,0.6675,0.8998,-5.3153,4,-3.3579,-0.7834,27.1092,-3.8355,-0.8993,3.9894,68.9014
2024-09-02,2,下侧趋势共振态,0.611,1.3014,57721.3,0.8786,0.8885,-6.4487,4,-4.7085,-1.1088,22.454,-5.2784,-1.2505,1.4906,76.0554
2024-09-03,2,下侧趋势共振态,0.4937,1.5615,58132.8,1.0467,1.2461,-4.6205,4,-3.6375,-0.8501,26.1562,-4.7096,-1.113,2.4692,71.3745
2024-09-04,2,下侧趋势共振态,0.6567,1.3648,55973,1.055,1.2196,-7.3947,4,-7.2176,-1.6796,14.2881,-8.3319,-1.9624,0,85.7119
2024-09-05,2,下侧趋势共振态,0.2443,2.5161,54041.5,1.2289,1.5254,-11.525,4,-9.1002,-2.0502,8.9857,-11.567,-2.6786,0,91.0143
2024-09-06,2,下侧趋势共振态,0.6583,1.3838,54779.1,0.8869,0.9542,-9.0317,4,-6.8545,-1.5409,16.2726,-10.4364,-2.4399,1.563,82.1644
2024-09-07,2,下侧趋势共振态,0.4654,2.5834,53688,0.4914,0.5132,-10.2324,4,-8.7098,-2.0345,9.2095,-12.299,-2.9905,0,90.7905
2024-09-08,2,下侧趋势共振态,0.6495,1.2116,55390,0.8731,0.9813,-6.1855,4,-5.8157,-1.3718,18.6919,-9.6063,-2.3609,4.0402,77.2679
2024-09-09,2,下侧趋势共振态,0.0476,2.2166,56593,1.1187,1.2241,-3.109,3,-3.7702,-0.8812,25.7113,-7.7396,-1.8867,7.0829,67.2058
2024-09-10,2,下侧趋势共振态,0.4669,1.5153,56700.1,0.9914,1.2691,-4.2686,4,-3.5881,-0.8391,26.3123,-7.6678,-1.8725,7.1738,66.5138
2024-09-11,2,下侧趋势共振态,0.1318,2.0294,57511.8,0.7854,1.1126,-2.2304,4,-2.2079,-0.5249,30.8086,-6.4657,-1.6071,8.8771,60.3143
2024-09-12,8,过渡混合态,0.5283,1.575,59659.9,0.9108,0.9328,1.7796,2,1.4447,0.3458,43.2661,-3.1048,-0.7781,14.1967,42.5373
2024-09-13,8,过渡混合态,0.3487,2.2901,59867,0.5615,0.7333,3.1486,2,1.8444,0.4562,44.8449,-2.9042,-0.7534,14.355,40.8002
2024-09-14,8,过渡混合态,0.1825,2.6185,60336.8,0.4566,0.384,3.1978,3,2.6436,0.6812,48.064,-2.2709,-0.6146,15.2459,36.6902
2024-09-15,8,过渡混合态,0.4786,2.0042,57887.8,1.2013,1.0519,0.5233,2,-0.5467,-0.1373,36.3537,-6.3422,-1.6916,8.3345,55.3118
2024-09-16,6,上侧趋势共振态,0.0753,3.3462,61139.8,1.6105,1.2196,5.3585,3,6.5905,1.5547,60.5625,-1.2103,-0.308,17.2126,43.3499
2024-09-17,8,过渡混合态,0.0426,1.8917,59434.2,0.8213,1.0175,3.721,3,4.3731,1.0382,53.1727,-4.0778,-1.0534,12.4298,40.7429
