instrument,bar,dataStatus,historyQuality,periodWeight,requiredWarmupBars,source,firstDate,lastDate,cleanRows,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3Pct,atr8Pct,atr13Pct,atr21Pct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middlePositionPct,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maPositionPct,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationWeather,deviationRiskNote,score_wait,score_grid,score_meanReversion,score_breakout,score_trend
APT-USDT,4H,ok,full_weight,1,233,OKX,2022-10-19 04:00,2026-05-31 00:00,7920,2026-05-31 00:00,0.95,黄,网格震荡天气,84,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期偏弱,震荡/网格天气较友好，仍需控制突破风险,波动压缩,2.6375,38.96,0.5801,17.59,-0.4199,余动能不足,57.24,42.76,35.2,1.7265,2.4157,2.6204,2.6778,0.6447,0.9021,中值贴近中轴,0.6353,0.2417,49.46,8.47,233MA下侧偏离,-4.1845,-1.672,60.88,65.09,趋势不明,-0.2646,mixed,2,缩量,0.336,短期贴近中轴 + 大周期偏弱,贴近中轴时继续拉伸概率通常更高；未到极端，但大天气仍偏弱,72.92,84,0,8,0
FIL-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.98,黄,网格震荡天气,68,高波动冷却 / 余动能不足 / 短期下侧偏离 / 大周期偏弱,震荡/网格天气较友好，仍需控制突破风险,高波动冷却,3.3322,74.87,0.5084,11.35,-0.4916,余动能不足,73.59,26.41,33.24,2.3818,3.0811,3.3151,3.3395,0.7132,0.9226,中值下侧偏离,-3.36,-1.0476,44.55,56.65,233MA下侧偏离,-1.8624,-0.5718,67.52,63.31,趋势不明,-0.9831,up,3,缩量,0.3402,短期下侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,62.84,68,53.94,0,3.9
ETC-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,8.26,黄偏红,防守等待,76.28,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,1.5934,19.26,0.6264,25.31,-0.3736,余动能不足,57.44,42.56,34.04,1.0085,1.3825,1.5679,1.7213,0.5859,0.8032,中值下侧偏离,-1.2027,-0.7678,35.55,56.75,233MA下侧极端,-6.8005,-4.6021,45.05,49.93,弱趋势混合,-1.7791,mixed,2,缩量,0.4296,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,76.28,56,54,8,0
ATOM-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,2,黄,均值回归天气,63.91,波动压缩 / 余动能不足 / 短期下侧偏离 / 大周期中轴附近,均值回归可观察，但要服从大周期过滤,波动压缩,2.096,45.46,0.6138,20,-0.3862,余动能不足,55.81,44.19,34.56,1.428,1.8135,2.061,2.2575,0.6326,0.8033,中值下侧偏离,-3.7695,-1.8531,25.01,55.53,233MA贴近中轴,0.2305,0.1088,57.45,94.08,强趋势下行,-4.1483,down,4,缩量,0.6219,短期下侧偏离 + 大周期中轴附近,优势不够大，不能单独触发策略；中轴附近容易出现反复,55.33,50,63.91,8,46.89
INJ-USDT,4H,ok,full_weight,1,233,OKX,2023-11-30 08:00,2026-05-31 00:00,5477,2026-05-31 00:00,6.47,黄偏绿,趋势策略天气,70,高波动冷却 / 余动能不足 / 短期上侧偏离 / 大周期强势高位,趋势天气较友好，等方向和量能确认,高波动冷却,5.0083,88.66,0.4991,8.43,-0.5009,余动能不足,72.95,27.05,34.36,4.1535,5.108,5.0406,4.77,0.8708,1.0709,中值上侧偏离,5.0426,0.9392,58.47,53.47,233MA上侧极端,43.7015,5.9499,84.34,39.82,强趋势上行,9.9846,up,3,缩量,0.4339,短期上侧偏离 + 大周期强势高位,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,32.6,40,48.49,4,70
STX-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.24,黄,网格震荡天气,84,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期偏弱,震荡/网格天气较友好，仍需控制突破风险,波动压缩,2.0695,15.5,0.5324,14.64,-0.4676,余动能不足,57.71,42.29,35.74,1.3165,1.8567,2.0475,2.1664,0.6077,0.857,中值上侧偏离,0.858,0.4095,59.45,51.54,233MA下侧偏离,-2.6598,-1.3153,53.65,63.7,趋势不明,-1.1769,down,3,缩量,0.1445,短期上侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,72.92,84,35.54,8,0
IMX-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.16,黄,网格震荡天气,84,波动压缩 / 余动能不足 / 短期贴近中轴 / 大周期偏弱,震荡/网格天气较友好，仍需控制突破风险,波动压缩,2.5299,21.13,0.6802,28.94,-0.3198,余动能不足,54.2,45.8,35.55,1.7653,2.328,2.5106,2.6129,0.6756,0.891,中值贴近中轴,0.6753,0.2672,52.37,8.58,233MA下侧偏离,-5.8871,-2.4923,53.82,65.89,趋势不明,0.5057,mixed,2,缩量,0.4636,短期贴近中轴 + 大周期偏弱,贴近中轴时继续拉伸概率通常更高；未到极端，但大天气仍偏弱,72.92,84,0,8,0
WLD-USDT,4H,ok,full_weight,1,233,OKX,2023-07-24 12:00,2026-05-31 00:00,6250,2026-05-31 00:00,0.35,黄偏绿,趋势策略天气,70,高波动冷却 / 余动能不足 / 短期上侧偏离 / 大周期强势高位,趋势天气较友好，等方向和量能确认,高波动冷却,6.4902,93.53,0.6623,27.28,-0.3377,余动能不足,74.17,25.83,33.47,7.8824,7.0052,6.5603,6.0453,1.3039,1.1588,中值上侧偏离,6.1529,0.904,60.41,50.11,233MA上侧极端,29.9094,3.5907,75.4,43.34,强趋势上行,13.9621,up,3,量能正常,0.8753,短期上侧偏离 + 大周期强势高位,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,32.6,48,36.4,32,70
AR-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,2.37,黄,均值回归天气,40.45,高波动扩张 / 接近正常动能 / 短期上侧偏离 / 大周期偏强,均值回归可观察，但要服从大周期过滤,高波动扩张,4.3455,80.84,1.0808,68.48,0.0808,接近正常动能,56.07,43.93,38.18,4.2529,4.4309,4.3762,4.0997,1.0374,1.0808,中值上侧偏离,4.5685,0.9899,56.93,54.57,233MA上侧偏离,9.1671,1.9027,73.72,57.29,弱趋势混合,3.5828,mixed,2,缩量,0.707,短期上侧偏离 + 大周期偏强,优势不够大，不能单独触发策略；不是天然做空区域,38.15,4,40.45,16,39.5
XLM-USDT,4H,ok,full_weight,1,233,OKX,2022-10-06 00:00,2026-05-31 00:00,7999,2026-05-31 00:00,0.24,绿,趋势策略天气,80,高波动扩张 / 动能已超ATR / 短期上侧偏离 / 大周期强势高位,趋势天气较友好，等方向和量能确认,高波动扩张,7.7373,99.46,1.2643,79.57,0.2643,动能已超ATR,55.05,44.95,42.15,9.0653,9.1419,7.9653,6.4092,1.4144,1.4264,中值上侧偏离,5.4439,0.7002,51.46,54.95,233MA上侧极端,46.9848,4.3354,73.5,42.95,强趋势上行,24.153,up,4,量能正常,1.1122,短期上侧偏离 + 大周期强势高位,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,15.4,2,41.82,54,80
