instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,atr3Pct,atr8Pct,atr13Pct,atr21Pct,middlePositionPct,maPositionPct,deviationWeather,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationRiskNote,score_meanReversion,score_trendFollowing,score_breakout,score_wait,score_grid
APT-USDT,8H,ok,half_weight,0.7,3735.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-10-19 00:00,2026-06-02 08:00,3968,6.2192,4.922,4.6269,4.4336,26.5673,64.087,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,0.85,黄偏绿,低吸均值回归,41.69,高波动扩张 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,高波动扩张,4.5915,59.3,2.0136,96.07,1.0136,振幅已超ATR,58.56,41.44,38.11,1.4028,1.1102,中值下侧偏离,-7.37,-1.7329,54.78,233MA下侧极端,-10.8301,-2.6452,52.57,强趋势下行,-10.3178,down,4,放量,2.4347,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,41.69,100.0,100.0,33.44,0.0
FIL-USDT,8H,ok,half_weight,0.7,5789.0,1.0,0.7,0.9998,0.0002,True,requested_start_not_reached,233,OKX,2020-12-03 08:00,2026-06-02 08:00,6022,5.9327,5.3232,5.2229,5.0832,21.8244,68.1709,短期下侧偏离 + 大周期偏弱,2026-06-02 08:00,0.89,黄偏绿,低吸均值回归,42.18,高波动扩张 / 振幅已超ATR / 短期下侧偏离 / 大周期偏弱,均值回归可观察，但要服从大周期过滤,高波动扩张,5.2036,72.73,1.4811,87.23,0.4811,振幅已超ATR,62.55,37.45,41.09,1.1671,1.0472,中值下侧偏离,-10.29,-2.2043,53.61,233MA下侧偏离,-6.1527,-1.2599,62.08,强趋势下行,-10.0665,down,4,放量,1.533,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,42.18,100.0,100.0,18.04,0.0
ETC-USDT,8H,ok,half_weight,0.7,8960.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-02 08:00,9193,3.1646,2.6309,2.66,2.7671,25.1601,53.1878,短期下侧偏离 + 大周期弱势深水区,2026-06-02 08:00,7.72,黄偏红,向下突破,79.0,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,低波动启动,2.6741,19.24,1.8976,94.0,0.8976,振幅已超ATR,47.3,52.7,40.28,1.1436,0.9508,中值下侧偏离,-5.9761,-2.3769,56.41,233MA下侧极端,-10.2433,-4.2677,52.99,强趋势下行,-8.6483,down,4,放量,2.2256,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,61.28,100.0,79.0,33.44,4.0
ATOM-USDT,8H,ok,half_weight,0.7,7559.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2019-04-23 08:00,2026-06-02 08:00,7792,3.6011,3.331,3.4995,3.6475,6.0195,21.2489,短期过冷 + 大周期偏弱,2026-06-02 08:00,1.82,黄偏绿,低吸均值回归,76.0,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期偏弱,均值回归可观察，但要服从大周期过滤,低波动启动,3.5279,39.1,1.5271,89.48,0.5271,振幅已超ATR,45.91,54.09,41.61,0.9873,0.9132,中值下侧极端,-10.4162,-3.2958,91.77,233MA下侧偏离,-3.5865,-1.0544,63.79,强趋势下行,-12.748,down,4,放量,2.2131,如果大周期仍弱，只能当短线天气看；未到极端，但大天气仍偏弱,76.0,100.0,79.0,19.72,12.0
INJ-USDT,8H,ok,half_weight,0.7,2513.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-11-30 08:00,2026-06-02 08:00,2746,7.5466,6.9378,6.6192,6.1603,60.4286,88.3282,短期上侧偏离 + 大周期强势高位,2026-06-02 08:00,6.79,绿,高抛均值回归,30.21,高波动扩张 / 振幅已超ATR / 短期上侧偏离 / 大周期强势高位,均值回归可观察，但要服从大周期过滤,高波动扩张,6.5589,83.59,1.3746,84.28,0.3746,振幅已超ATR,61.28,38.72,41.08,1.225,1.1262,中值上侧偏离,7.7375,1.095,54.47,233MA上侧极端,74.7148,6.52,41.11,强趋势上行,11.2253,up,4,放量,1.6256,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,30.21,100.0,100.0,32.04,0.0
STX-USDT,8H,ok,half_weight,0.7,5516.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-03-04 08:00,2026-06-02 08:00,5749,4.9315,4.0556,3.8987,3.8695,63.4892,59.2046,短期下侧偏离 + 大周期偏弱,2026-06-02 08:00,0.22,黄偏绿,低吸均值回归,37.48,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期偏弱,均值回归可观察，但要服从大周期过滤,低波动启动,3.8874,27.61,1.801,93.73,0.801,振幅已超ATR,46.04,53.96,38.99,1.2745,1.0481,中值下侧偏离,-5.506,-1.4989,53.79,233MA下侧偏离,-7.6492,-2.1307,67.88,强趋势下行,-9.1773,down,4,量能正常,1.1755,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,37.48,100.0,93.0,18.04,20.0
IMX-USDT,8H,ok,half_weight,0.7,4777.0,1.0,0.7,0.9998,0.0002,True,requested_start_not_reached,233,OKX,2021-11-05 16:00,2026-06-02 08:00,5010,4.9447,4.3146,4.2329,4.2368,39.1701,63.5173,短期下侧偏离 + 大周期偏弱,2026-06-02 08:00,0.15,黄偏绿,低吸均值回归,36.59,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期偏弱,均值回归可观察，但要服从大周期过滤,低波动启动,4.2299,30.95,1.5428,89.92,0.5428,振幅已超ATR,45.61,54.39,39.51,1.1671,1.0184,中值下侧偏离,-5.7764,-1.4493,54.38,233MA下侧偏离,-7.0285,-1.7872,71.96,强趋势下行,-7.9754,down,4,放量,1.7663,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,36.59,100.0,100.0,18.04,12.0
WLD-USDT,8H,ok,half_weight,0.7,2900.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-07-24 08:00,2026-06-02 08:00,3133,10.8321,9.4152,8.4423,7.3137,53.3418,80.6233,短期上侧偏离 + 大周期强势高位,2026-06-02 08:00,0.4,黄偏绿,向上突破,83.0,高波动扩张 / 接近一倍ATR / 短期上侧偏离 / 大周期强势高位,观察,高波动扩张,8.2779,89.76,0.9808,61.68,-0.0192,接近一倍ATR,61.4,38.6,36.89,1.4811,1.2873,中值上侧偏离,6.5541,0.7431,50.87,233MA上侧极端,42.9578,3.6301,39.51,强趋势上行,20.4893,up,3,放量,1.6004,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,24.0,100.0,83.0,33.44,0.0
AR-USDT,8H,ok,half_weight,0.7,4630.0,1.0,0.7,0.9998,0.0002,True,requested_start_not_reached,233,OKX,2021-12-24 16:00,2026-06-02 08:00,4863,6.75,6.2077,6.0076,5.6963,44.2583,73.0519,短期下侧偏离 + 大周期偏强,2026-06-02 08:00,2.21,黄偏绿,向下突破,87.0,高波动扩张 / 振幅已超ATR / 短期下侧偏离 / 大周期偏强,观察,高波动扩张,5.964,70.96,1.556,90.03,0.556,振幅已超ATR,57.54,42.46,41.17,1.185,1.0898,中值下侧偏离,-2.4939,-0.4289,53.89,233MA上侧偏离,10.5297,1.5973,58.17,强趋势下行,-3.2856,down,3,量能正常,1.3871,优势不够大，不能单独触发策略；不是天然做空区域,16.0,88.43,87.0,21.62,0.0
XLM-USDT,8H,ok,half_weight,0.7,8960.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-02 08:00,9193,9.5552,10.2397,9.199,7.5847,58.2918,57.808,短期贴近中轴 + 大周期强势高位,2026-06-02 08:00,0.22,黄偏绿,向上突破,83.0,高波动扩张 / 接近一倍ATR / 短期贴近中轴 / 大周期强势高位,观察,高波动扩张,8.9717,96.11,1.1022,71.75,0.1022,接近一倍ATR,57.65,42.35,37.14,1.2598,1.35,中值贴近中轴,-1.6981,-0.1925,9.53,233MA上侧极端,31.0053,2.638,42.82,强趋势上行,16.2668,up,3,缩量,0.5836,贴近中轴时继续拉伸概率通常更高；强势区可以长期维持在 233MA 上方,0.0,96.0,83.0,40.56,0.0
