instrument,bar,horizon,environment,environmentDirection,hitMeaning,observations,weightedObservations,hitRatePct,baselineRatePct,liftPct,liftWilsonLow,avgFutureReturnPct,medianFutureReturnPct,avgAbsFutureReturnPct,avgFutureRangePct,periodWeightAvg,lowSample,eligibleForCross,mainHorizon,passCandidate,firstDate,lastDate
ADA-USDT,1D,5,TREND,up,方向命中,906,634.2,51.88,52.08,-0.2,-3.46,2.732,0.3701,9.7109,20.6432,0.7,False,True,True,False,2019-03-16,2026-05-13
ADA-USDT,1D,10,CHAOS,neutral,高扰动命中,148,103.6,21.62,25.05,-3.43,-9.3,0.6826,-1.7916,11.4395,26.0033,0.7,False,True,True,False,2019-04-20,2026-05-15
ADA-USDT,1D,10,RANGE,neutral,低波动维持,89,62.3,57.3,50.02,7.28,-3.09,-0.584,-2.7827,10.1644,21.5432,0.7,False,True,True,True,2019-04-21,2026-05-16
ADA-USDT,1D,10,TREND,down,方向命中,865,605.5,52.02,48.9,3.13,-0.21,-0.6261,-0.7012,9.8384,23.5834,0.7,False,True,True,False,2019-04-23,2026-04-29
ADA-USDT,1D,10,TREND,up,方向命中,902,631.4,53.88,53.53,0.35,-2.91,5.9372,1.226,15.2663,30.1394,0.7,False,True,True,False,2019-03-21,2026-05-13
ADA-USDT,1W,1,CHAOS,neutral,高扰动命中,8,2.0,37.5,25.33,12.17,-11.65,1.8723,-0.0659,8.4769,23.9756,0.25,True,False,False,False,2024-04-07,2025-07-06
ADA-USDT,1W,1,RANGE,neutral,低波动维持,2,0.5,50.0,50.2,-0.2,-40.75,-5.6852,-5.6852,5.6852,12.8781,0.25,True,False,False,False,2023-02-26,2025-05-25
ADA-USDT,1W,1,TREND,down,方向命中,68,17.0,60.29,53.71,6.59,-5.29,0.0542,-1.2291,5.9965,15.1265,0.25,False,True,False,True,2023-01-08,2026-05-17
ADA-USDT,1W,1,TREND,up,方向命中,54,13.5,44.44,47.93,-3.49,-15.93,1.263,-0.726,10.0566,23.2573,0.25,False,True,False,False,2023-04-02,2025-09-28
ADA-USDT,1W,3,CHAOS,neutral,高扰动命中,8,2.0,25.0,25.48,-0.48,-18.33,-7.3262,-9.227,8.0529,34.0481,0.25,True,False,False,False,2024-04-07,2025-07-06
ADA-USDT,1W,3,RANGE,neutral,低波动维持,2,0.5,50.0,50.2,-0.2,-40.75,-8.6979,-8.6979,13.7646,29.279,0.25,True,False,False,False,2023-02-26,2025-05-25
ADA-USDT,1W,3,TREND,down,方向命中,65,16.25,52.31,52.85,-0.54,-12.47,1.2555,-0.6038,14.0102,29.9225,0.25,False,True,False,False,2023-03-05,2026-04-26
ADA-USDT,1W,3,TREND,up,方向命中,54,13.5,40.74,51.71,-10.97,-23.03,1.5211,-5.3739,18.0375,40.1354,0.25,False,True,False,False,2023-04-02,2025-09-28
ADA-USDT,1W,5,CHAOS,neutral,高扰动命中,8,2.0,25.0,25.35,-0.35,-18.2,-5.4737,-9.908,14.2659,40.553,0.25,True,False,True,False,2024-04-07,2025-07-06
