instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,atr3Pct,atr8Pct,atr13Pct,atr21Pct,middlePositionPct,maPositionPct,deviationWeather,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationRiskNote,score_trendFollowing,score_meanReversion,score_breakout,score_wait,score_grid
PYTH-USDT,1D,ok,half_weight,0.7,693.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-11-19,2026-06-01,926,9.012,8.6403,8.7494,8.7685,16.565,54.171,短期下侧偏离 + 大周期弱势深水区,2026-06-01,0.04,黄偏绿,低吸均值回归,62.66,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,8.7599,39.59,1.3212,84.39,0.3212,振幅已超ATR,41.63,58.37,36.81,1.0278,0.9854,中值下侧偏离,-17.6908,-2.4536,58.33,233MA下侧极端,-37.6588,-6.8959,55.49,强趋势下行,-12.4536,down,4,量能正常,0.9529,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,96.0,62.66,69.0,34.56,12.0
TIA-USDT,1D,ok,half_weight,0.7,712.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-10-31,2026-06-01,945,9.0951,10.0116,9.9031,9.3732,27.276,80.4993,短期下侧偏离 + 大周期弱势深水区,2026-06-01,0.37,黄偏绿,低吸均值回归,52.59,低波动启动 / 接近一倍ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,9.8434,45.87,1.0496,68.62,0.0496,接近一倍ATR,41.9,58.1,35.8,0.9703,1.0681,中值下侧偏离,-15.7135,-1.8939,57.03,233MA下侧极端,-26.7835,-3.7163,55.66,强趋势下行,-10.8535,down,3,缩量,0.6425,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,86.0,52.59,49.0,41.96,0.0
ONDO-USDT,1D,ok,half_weight,0.62,441.0,0.882,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-07-28,2026-06-01,674,9.711,10.5343,10.4366,9.6837,30.0452,87.6039,短期下侧偏离 + 大周期偏弱,2026-06-01,0.36,黄偏绿,趋势做空,89.12,高波动扩张 / 接近一倍ATR / 短期下侧偏离 / 大周期偏弱,趋势天气较友好，等方向和量能确认,高波动扩张,10.359,81.32,0.9174,57.72,-0.0826,接近一倍ATR,56.67,43.33,41.61,1.0028,1.0878,中值下侧偏离,-9.9542,-1.0672,52.33,233MA下侧偏离,-7.555,-0.7889,59.5,强趋势下行,-5.0245,down,3,量能正常,0.9532,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,89.12,21.71,49.0,21.52,6.0
FET-USDT,1D,ok,half_weight,0.7,689.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-11-23,2026-06-01,922,11.6914,9.9545,8.6533,7.6317,60.169,92.8949,短期上侧偏离 + 大周期强势高位,2026-06-01,0.26,黄偏绿,向上突破,100.0,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期强势高位,观察,低波动启动,8.4702,35.04,1.4083,85.75,0.4083,振幅已超ATR,43.81,56.19,43.4,1.5319,1.3044,中值上侧偏离,8.9911,0.9739,52.23,233MA上侧极端,13.0411,1.362,18.75,强趋势上行,22.8596,up,4,放量,2.414,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,100.0,36.03,100.0,32.04,22.0
PEPE-USDT,1D,ok,half_weight,0.7,896.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-04-30,2026-06-01,1129,6.0305,5.7837,5.9387,6.2148,11.285,42.7241,短期过冷 + 大周期弱势深水区,2026-06-01,0.0,黄偏绿,趋势做空,92.0,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,趋势天气较友好，等方向和量能确认,低波动启动,5.9717,3.54,1.539,89.2,0.539,振幅已超ATR,42.8,57.2,43.33,0.9703,0.9306,中值下侧极端,-13.8611,-2.6946,92.86,233MA下侧极端,-29.2034,-6.9075,62.33,强趋势下行,-15.7057,down,4,放量,1.6436,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,92.0,84.0,79.0,35.12,4.0
SHIB-USDT,1D,ok,half_weight,0.7,1619.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-05-07,2026-06-01,1852,4.3562,4.098,4.1991,4.3996,4.6735,38.5458,短期过冷 + 大周期弱势深水区,2026-06-01,0.0,黄偏绿,趋势做空,84.0,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,趋势天气较友好，等方向和量能确认,低波动启动,4.2221,5.57,1.5389,89.31,0.5389,振幅已超ATR,46.47,53.53,40.86,0.9901,0.9315,中值下侧极端,-10.4723,-2.7705,86.03,233MA下侧极端,-27.36,-8.9211,59.23,强趋势下行,-10.4576,down,4,量能正常,1.0265,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,84.0,84.0,69.0,36.24,12.0
BONK-USDT,1D,ok,half_weight,0.7,644.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-01-07,2026-06-01,877,7.1794,6.8104,6.9736,7.1571,13.1932,44.6193,短期过冷 + 大周期弱势深水区,2026-06-01,0.0,黄偏绿,趋势做空,92.0,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,趋势天气较友好，等方向和量能确认,低波动启动,6.9999,8.04,1.6234,91.49,0.6234,振幅已超ATR,43.35,56.65,48.34,1.0031,0.9516,中值下侧极端,-16.9609,-2.9179,75.93,233MA下侧极端,-38.6488,-8.9995,61.31,强趋势下行,-18.8758,down,4,放量,1.6391,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,92.0,84.0,79.0,35.12,4.0
FLOKI-USDT,1D,ok,half_weight,0.7,1032.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-12-15,2026-06-01,1265,6.8307,6.2687,6.417,6.6115,12.5085,38.5154,短期过冷 + 大周期弱势深水区,2026-06-01,0.0,黄偏绿,趋势做空,84.0,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,趋势天气较友好，等方向和量能确认,低波动启动,6.4463,13.22,1.4456,84.7,0.4456,振幅已超ATR,39.59,60.41,41.87,1.0332,0.9482,中值下侧极端,-15.6433,-2.8767,89.74,233MA下侧极端,-34.9413,-8.3315,61.9,强趋势下行,-14.6848,down,4,量能正常,0.7634,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,84.0,84.0,69.0,36.24,12.0
WIF-USDT,1D,ok,half_weight,0.7,546.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-04-14,2026-06-01,779,7.8738,7.5703,7.6546,7.7557,26.85,63.9721,短期下侧偏离 + 大周期弱势深水区,2026-06-01,0.18,黄偏绿,低吸均值回归,50.26,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,7.6688,10.77,1.3296,85.18,0.3296,振幅已超ATR,36.36,63.64,35.19,1.0152,0.9761,中值下侧偏离,-11.9171,-1.7642,58.44,233MA下侧极端,-39.6849,-8.5798,63.74,强趋势下行,-9.8114,down,3,量能正常,0.9413,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,86.0,50.26,69.0,35.96,12.0
ORDI-USDT,1D,ok,half_weight,0.7,877.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-05-19,2026-06-01,1110,12.1247,11.121,11.825,12.913,31.1477,77.7258,短期下侧偏离 + 大周期偏弱,2026-06-01,3.64,黄偏红,趋势做空,100.0,高波动扩张 / 振幅已超ATR / 短期下侧偏离 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,高波动扩张,11.9993,67.68,1.3607,84.09,0.3607,振幅已超ATR,70.37,29.63,40.56,0.939,0.8612,中值下侧偏离,-10.2615,-0.953,57.84,233MA下侧偏离,-6.1102,-0.5424,65.75,强趋势下行,-15.8051,down,4,放量,2.8144,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,100.0,19.65,79.0,18.04,0.0
