indicator,indicatorKey,horizon,lowOccurrences,highOccurrences,lowValueMedian,highValueMedian,lowAvgReturnPct,highAvgReturnPct,highMinusLowReturnPct,lowAvgAbsReturnPct,highAvgAbsReturnPct,highMinusLowAbsReturnPct,lowAvgExcursionPct,highAvgExcursionPct,highMinusLowExcursionPct
233MA乖离ATR,maDeviationAtr,10,292,293,-12.1053,8.9621,3.1913,4.0893,0.898,6.5865,9.2389,2.6524,14.3224,19.4144,5.092
3/21日ATR比,atr3To21,1,292,293,0.6135,1.5787,-0.1314,0.1757,0.3071,1.8935,2.7178,0.8243,3.4909,6.9245,3.4336
3/21日ATR比,atr3To21,3,292,293,0.6135,1.5787,0.0098,0.6898,0.68,3.3385,4.8488,1.5103,6.6694,11.3118,4.6424
3/21日ATR比,atr3To21,5,292,293,0.6135,1.5787,0.2514,1.1299,0.8785,4.6135,6.2386,1.6251,9.213,14.4671,5.2541
3/21日ATR比,atr3To21,10,292,293,0.6135,1.5787,1.1787,2.4951,1.3164,7.0525,8.2331,1.1806,14.6423,18.9307,4.2884
3/8日ATR比,atr3To8,1,292,293,0.754,1.2961,-0.1832,0.1127,0.2959,1.9718,2.5941,0.6223,3.7619,6.6049,2.843
3/8日ATR比,atr3To8,3,292,293,0.754,1.2961,-0.1012,0.6574,0.7586,3.3,4.7064,1.4064,6.9264,10.7107,3.7843
3/8日ATR比,atr3To8,5,292,293,0.754,1.2961,-0.1196,1.0137,1.1333,4.5439,6.1228,1.5789,9.4529,13.8877,4.4348
3/8日ATR比,atr3To8,10,292,293,0.754,1.2961,1.0451,2.2646,1.2195,6.4675,7.8921,1.4246,14.642,17.9058,3.2638
34日涨跌,d34,1,292,293,-26.7515,43.0222,0.0427,0.0767,0.034,3.2233,2.8259,-0.3974,6.9953,6.3642,-0.6311
34日涨跌,d34,3,292,293,-26.7515,43.0222,0.2514,0.5057,0.2543,5.3968,4.8695,-0.5273,11.9686,10.8848,-1.0838
34日涨跌,d34,5,292,293,-26.7515,43.0222,0.4173,1.2549,0.8376,6.4945,5.8422,-0.6523,14.8253,13.8103,-1.015
34日涨跌,d34,10,292,293,-26.7515,43.0222,1.2518,3.9572,2.7054,8.0465,8.3938,0.3473,19.7674,19.5634,-0.204
3日剩余动能ATR,remainingMomentumAtr3,1,292,293,-0.4758,0.5917,-0.076,0.1807,0.2567,1.6817,2.4173,0.7356,3.6666,5.7797,2.1131
3日剩余动能ATR,remainingMomentumAtr3,3,292,293,-0.4758,0.5917,0.0264,0.8769,0.8505,3.4734,4.0326,0.5592,7.4367,8.7268,1.2901
3日剩余动能ATR,remainingMomentumAtr3,5,292,293,-0.4758,0.5917,0.4765,0.6821,0.2056,4.6654,5.7329,1.0675,9.596,11.6291,2.0331
3日剩余动能ATR,remainingMomentumAtr3,10,292,292,-0.4758,0.5924,0.9359,1.5517,0.6158,6.5113,8.2765,1.7652,13.7906,16.527,2.7364
3日ATR百分位,atr3Percentile,1,292,293,3.4329,84.1632,0.2735,0.5406,0.2671,1.4209,3.6423,2.2214,2.793,8.3983,5.6053
