kind,label,horizon,occurrences,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,avgDistanceChangeAtr,medianDistanceChangeAtr,avgReturnPct,medianReturnPct,upRatePct,avgMaxUpPct,avgMaxDownPct,lastSeen
233MA,MA下侧极端,1,945,-8.1043,43.04,40.11,59.89,0.11,-0.0193,0.1228,-0.0109,0.0127,50.05,2.2076,-2.3186,2026-05-28
233MA,MA下侧极端,3,943,-8.1083,42.8,42.74,57.26,0.53,-0.0576,0.1991,-0.0237,-0.0123,49.95,3.9925,-4.1688,2026-05-26
233MA,MA下侧极端,5,941,-8.1251,42.71,43.89,56.11,0.96,-0.1032,0.1937,0.0305,0.0753,51.01,5.2461,-5.3755,2026-05-24
233MA,MA下侧极端,10,936,-8.1725,42.45,46.47,53.53,2.46,-0.2083,0.1394,0.3025,0.5497,52.99,7.7712,-7.42,2026-05-19
233MA,MA下侧偏离,1,225,-1.2666,60.67,48.44,51.56,6.67,0.0251,0.0183,0.2643,0.164,55.56,2.5253,-2.3274,2025-11-12
233MA,MA下侧偏离,3,225,-1.2666,60.67,45.78,54.22,19.56,0.1162,0.0605,0.9314,0.5484,56,5.0036,-3.8887,2025-11-12
233MA,MA下侧偏离,5,225,-1.2666,60.67,43.56,56.44,26.67,0.296,0.195,1.019,0.6882,55.11,6.5091,-5.2443,2025-11-12
233MA,MA下侧偏离,10,225,-1.2666,60.67,35.11,64.89,34.22,0.7815,0.6023,1.1961,1.4456,53.33,9.0746,-8.2192,2025-11-12
中值,中值上侧极端,1,272,2.9666,84.74,56.62,43.38,0.74,-0.2094,-0.0807,0.4113,0.2196,54.78,2.7288,-2.4395,2026-04-21
中值,中值上侧极端,3,272,2.9666,84.74,66.54,33.46,1.47,-0.5759,-0.4202,0.9952,0.5549,56.25,4.8371,-4.1285,2026-04-21
中值,中值上侧极端,5,272,2.9666,84.74,78.31,21.69,5.15,-0.9062,-0.7732,1.5036,0.6889,57.35,6.3725,-5.1729,2026-04-21
中值,中值上侧极端,10,272,2.9666,84.74,85.66,14.34,16.18,-1.3417,-1.416,2.9459,1.8498,61.76,9.2928,-6.472,2026-04-21
中值,中值上侧偏离,1,1072,1.2632,66.97,48.41,51.59,6.06,-0.0117,0.0158,0.2224,0.0915,52.33,2.2346,-2.0537,2026-05-13
中值,中值上侧偏离,3,1072,1.2632,66.97,50,50,16.79,-0.013,-0.0007,0.5583,0.1492,52.05,4.2125,-3.5677,2026-05-13
中值,中值上侧偏离,5,1072,1.2632,66.97,50,50,23.69,0.0149,-0.0012,0.9498,0.1914,51.68,5.6892,-4.6812,2026-05-13
中值,中值上侧偏离,10,1072,1.2632,66.97,49.63,50.37,36.38,0.0667,0.0278,1.8011,0.743,53.54,8.6476,-6.7153,2026-05-13
中值,中值贴近,1,464,-0.0009,54.17,22.2,77.8,39.01,0.2878,0.215,0.0417,0.0371,50.86,1.9305,-2.1371,2026-05-15
中值,中值贴近,3,464,-0.0009,54.17,12.93,87.07,41.81,0.6246,0.5176,0.4644,0.0634,50.86,3.7319,-3.7277,2026-05-15
中值,中值贴近,5,464,-0.0009,54.17,12.72,87.28,42.24,0.7736,0.6611,0.7566,0.0505,50.65,5.2207,-4.7281,2026-05-15
中值,中值贴近,10,464,-0.0009,54.17,8.62,91.38,48.71,1.0076,0.9037,1.1188,0.0565,50.65,8.12,-6.9616,2026-05-15
中值,中值下侧极端,1,112,-2.7393,23.67,58.04,41.96,0.89,-0.2032,-0.077,-0.643,-0.092,48.21,2.5768,-3.8171,2026-02-04
中值,中值下侧极端,3,112,-2.7393,23.67,67.86,32.14,8.04,-0.5544,-0.3879,-0.9599,-0.2445,48.21,4.4002,-6.9448,2026-02-04
中值,中值下侧极端,5,112,-2.7393,23.67,78.57,21.43,16.07,-0.7932,-0.7694,-0.9986,0.1872,52.68,5.4035,-8.2749,2026-02-04
中值,中值下侧极端,10,112,-2.7393,23.67,84.82,15.18,26.79,-1.2547,-1.3473,-0.6944,0.4839,53.57,7.435,-9.7454,2026-02-04
中值,中值下侧偏离,1,1000,-1.1533,42.05,53.7,46.3,6,-0.0395,-0.0382,0.0763,0.1448,52.6,2.2766,-2.4067,2026-05-28
中值,中值下侧偏离,3,998,-1.1482,42.06,52.81,47.19,16.83,-0.0523,-0.0435,0.1498,0.1695,52,4.0814,-4.2379,2026-05-26
中值,中值下侧偏离,5,996,-1.1482,42.06,52.11,47.89,24.2,-0.033,-0.046,0.225,0.218,52.31,5.2957,-5.5235,2026-05-24
中值,中值下侧偏离,10,991,-1.1514,42.06,53.68,46.32,38.85,-0.0254,-0.0815,0.7082,0.5712,52.98,7.7661,-7.7079,2026-05-19
