treeType,horizon,routeKey,routeLabel,ruleId,predictionKey,prediction,samples,purityPct,conditions,distribution,topClass,topSharePct,secondClass,secondSharePct,edgePct,baselinePct,liftPct,fitProbabilityPct,notFitProbabilityPct,quality,auditReason
策略适配树,5,gridNeutral,震荡网格,3,notFit,不适合,52,73.08,233MA乖离ATR > 8.3332 AND 8日涨跌 > 17.6636,不适合:73.1% | 适合:26.9%,不适合,73.08,适合,26.92,46.16,17.59,55.49,26.92,73.08,弱参考,样本少于200
策略适配树,5,gridNeutral,震荡网格,4,fit,适合,42,95.24,233MA乖离ATR > 8.3332 AND 8日涨跌 <= 17.6636 AND 美元指数代理 > 113.5855 AND 8日ATR百分位 > 40.6605,适合:95.2% | 不适合:4.8%,适合,95.24,不适合,4.76,90.48,82.41,12.83,95.24,4.76,弱参考,样本少于200
策略适配树,5,gridNeutral,震荡网格,5,notFit,不适合,37,54.05,233MA乖离ATR > 8.3332 AND 8日涨跌 <= 17.6636 AND 美元指数代理 <= 113.5855,不适合:54% | 适合:46%,不适合,54.05,适合,45.95,8.1,17.59,36.46,45.95,54.05,弱参考,样本少于200；第一名领先不足10%
策略适配树,5,waitDefense,防守等待,1,fit,适合,2916,55.97,ALL,适合:56% | 不适合:44%,适合,55.97,不适合,44.03,11.94,55.97,0,55.97,44.03,弱参考,相对基准提升不足5%
策略适配树,10,trendLong,趋势追多,1,notFit,不适合,1470,53.06,34日涨跌 <= 18.7457 AND 233MA乖离ATR > -11.5714 AND 宏观流动性评分 > -3.4951 AND 233MA乖离率 > -16.7416,不适合:53.1% | 适合:46.9%,不适合,53.06,适合,46.94,6.12,46.34,6.72,46.94,53.06,弱参考,第一名领先不足10%
策略适配树,10,trendLong,趋势追多,2,fit,适合,440,60.91,34日涨跌 <= 18.7457 AND 233MA乖离ATR > -11.5714 AND 宏观流动性评分 > -3.4951 AND 233MA乖离率 <= -16.7416,适合:60.9% | 不适合:39.1%,适合,60.91,不适合,39.09,21.82,53.66,7.25,60.91,39.09,观察,达最低门槛，但还不够强
策略适配树,10,trendLong,趋势追多,3,fit,适合,336,57.74,34日涨跌 > 18.7457 AND 34日涨跌 <= 56.6835 AND 8/13日ATR比 <= 1.0893 AND 美元指数21日变化率 <= 0.4398,适合:57.7% | 不适合:42.3%,适合,57.74,不适合,42.26,15.48,53.66,4.08,57.74,42.26,弱参考,相对基准提升不足5%
策略适配树,10,trendLong,趋势追多,4,fit,适合,140,78.57,34日涨跌 > 18.7457 AND 34日涨跌 <= 56.6835 AND 8/13日ATR比 <= 1.0893 AND 美元指数21日变化率 > 0.4398,适合:78.6% | 不适合:21.4%,适合,78.57,不适合,21.43,57.14,53.66,24.91,78.57,21.43,弱参考,样本少于200
策略适配树,10,trendLong,趋势追多,5,fit,适合,99,91.92,34日涨跌 > 18.7457 AND 34日涨跌 <= 56.6835 AND 8/13日ATR比 > 1.0893 AND 8日ATR率 <= 5.8109,适合:91.9% | 不适合:8.1%,适合,91.92,不适合,8.08,83.84,53.66,38.26,91.92,8.08,弱参考,样本少于200
策略适配树,10,trendLong,趋势追多,6,notFit,不适合,97,83.51,34日涨跌 <= 18.7457 AND 233MA乖离ATR > -11.5714 AND 宏观流动性评分 <= -3.4951 AND ATR率 > 3.5453,不适合:83.5% | 适合:16.5%,不适合,83.51,适合,16.49,67.02,46.34,37.17,16.49,83.51,弱参考,样本少于200
策略适配树,10,trendLong,趋势追多,7,fit,适合,76,69.74,34日涨跌 <= 18.7457 AND 233MA乖离ATR <= -11.5714 AND 美元指数21日变化率 > -0.4301 AND 美元指数21日变化率 > 0.3509,适合:69.7% | 不适合:30.3%,适合,69.74,不适合,30.26,39.48,53.66,16.08,69.74,30.26,弱参考,样本少于200
