instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,atr3Pct,atr8Pct,atr13Pct,atr21Pct,middlePositionPct,maPositionPct,deviationWeather,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationRiskNote,score_wait,score_trendFollowing,score_meanReversion,score_grid,score_breakout
ICP-USDT,1W,ok,weak_display_only,0.0,31.0,0.062,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-05-09,2026-05-24,264,24.9327,23.9691,26.7491,31.7199,55.6259,68.855,短期下侧偏离 + 大周期弱势深水区,2026-05-24,2.65,黄偏红,向上突破,23.0,低波动启动 / 接近一倍ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,低波动启动,27.373,43.63,0.8157,72.31,-0.1843,接近一倍ATR,0.0,100.0,0.0,0.786,0.7556,中值下侧偏离,-22.4436,-1.0572,0.0,233MA下侧极端,-65.8808,-7.054,72.73,趋势不明,-1.005,mixed,2,放量,1.7293,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,48.76,31.02,57.53,66.0,49.0
HBAR-USDT,1W,ok,weak_display_only,0.16,117.0,0.234,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2019-09-15,2026-05-24,350,15.2401,13.6842,17.0777,22.5767,61.5313,38.7385,短期下侧偏离 + 大周期偏弱,2026-05-24,0.09,黄偏红,趋势追多,44.0,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,低波动启动,17.8339,16.47,1.6539,86.5,0.6539,振幅已超ATR,12.9,87.1,55.56,0.675,0.6061,中值下侧偏离,-8.4343,-0.5165,40.35,233MA下侧偏离,-21.0333,-1.4935,94.74,强趋势下行,-11.0031,down,3,放量,1.8425,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,31.4,90.0,32.0,30.0,67.0
ALGO-USDT,1W,ok,weak_display_only,0.18,130.0,0.26,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2019-06-16,2026-05-24,363,19.8815,17.6361,18.6552,21.9731,73.9719,68.9931,短期上侧偏离 + 大周期弱势深水区,2026-05-24,0.13,黄偏红,向下突破,51.0,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,低波动启动,19.0221,11.57,1.5295,87.29,0.5295,振幅已超ATR,38.3,61.7,53.85,0.9048,0.8026,中值上侧偏离,13.0875,0.6084,26.67,233MA下侧极端,-53.6751,-6.0912,59.46,弱趋势混合,9.5056,mixed,2,放量,1.8027,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,39.32,62.0,36.0,22.0,51.0
LDO-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-08-28,2026-05-24,196,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRV-USDT,1W,ok,weak_display_only,0.1,70.0,0.14,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2020-08-09,2026-05-24,303,14.308,18.4427,25.5434,35.8216,59.588,0.0,短期下侧偏离 + 大周期弱势深水区,2026-05-24,0.21,黄偏红,低吸均值回归,62.96,波动压缩 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,26.9865,35.34,0.4189,22.24,-0.5811,振幅未满ATR,50.0,50.0,15.56,0.3994,0.5148,中值下侧偏离,-35.345,-2.0257,53.66,233MA下侧极端,-75.1808,-11.2247,67.27,强趋势下行,-23.9507,down,3,缩量,0.4931,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,71.19,48.0,62.96,18.0,53.0
ENS-USDT,1W,ok,weak_display_only,0.0,5.0,0.01,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2021-11-07,2026-05-24,238,16.5728,18.8097,25.1352,36.2544,27.594,0.0,短期下侧偏离 + 大周期弱势深水区,2026-05-24,5.82,黄偏红,高抛均值回归,15.88,常态波动 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,常态波动,26.5582,48.67,0.58,40.67,-0.42,振幅未满ATR,,,0.0,0.4571,0.5188,中值下侧偏离,-28.7706,-1.5209,,233MA下侧极端,-64.3274,-6.7899,,强趋势下行,-18.617,down,3,放量,1.6533,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,52.8,80.0,53.88,2.0,47.0
PENDLE-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-09-22,2026-05-24,88,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUP-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-01-28,2026-05-24,122,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYTH-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-11-19,2026-05-24,132,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIA-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-10-29,2026-05-24,135,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONDO-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2024-07-28,2026-05-24,96,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FET-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-11-19,2026-05-24,132,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
