instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,atr3Pct,atr8Pct,atr13Pct,atr21Pct,middlePositionPct,maPositionPct,deviationWeather,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationRiskNote,score_wait,score_trendFollowing,score_meanReversion,score_grid,score_breakout
TRX-USDT,1W,ok,weak_display_only,0.29,208.0,0.416,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2017-12-17,2026-05-24,441,6.3233,5.1862,5.1364,5.3915,75.6534,82.7207,短期上侧偏离 + 大周期强势高位,2026-05-24,0.35,黄偏绿,趋势追多,100.0,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期强势高位,趋势天气较友好，等方向和量能确认,低波动启动,5.1599,1.29,2.0817,94.04,1.0817,振幅已超ATR,58.77,41.23,42.86,1.1728,0.9619,中值上侧偏离,8.2228,1.4725,45.33,233MA上侧极端,119.8526,10.5652,64.88,强趋势上行,14.7481,up,4,放量,1.7197,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,32.04,100.0,45.01,4.0,79.0
DOT-USDT,1W,ok,weak_display_only,0.1,69.0,0.138,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2020-08-16,2026-05-24,302,13.2939,17.707,24.3041,34.5189,20.8422,0.0,短期下侧偏离 + 大周期弱势深水区,2026-05-24,1.17,黄偏红,趋势追多,32.0,高波动冷却 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,高波动冷却,25.6429,56.23,0.4754,21.97,-0.5246,振幅未满ATR,71.43,28.57,12.0,0.3851,0.513,中值下侧偏离,-31.9013,-1.8268,51.61,233MA下侧极端,-82.2939,-18.125,81.67,强趋势下行,-28.4579,down,4,缩量,0.5574,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,58.52,82.0,59.38,2.0,21.0
BCH-USDT,1W,ok,weak_display_only,0.22,160.0,0.32,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2018-11-18,2026-05-24,393,18.8382,18.3816,19.8543,21.2654,0.4029,71.6698,短期过冷 + 大周期偏弱,2026-05-24,299.5,黄偏绿,趋势追多,46.0,常态波动 / 接近一倍ATR / 短期过冷 / 大周期偏弱,趋势天气较友好，等方向和量能确认,常态波动,20.0923,53.55,1.027,65.92,0.027,接近一倍ATR,60.61,39.39,38.89,0.8859,0.8644,中值下侧极端,-37.7662,-3.0203,100.0,233MA下侧偏离,-8.8729,-0.4846,57.69,强趋势下行,-38.229,down,4,缩量,0.5381,如果大周期仍弱，只能当短线天气看；未到极端，但大天气仍偏弱,26.84,94.0,76.0,0.0,49.0
LTC-USDT,1W,ok,weak_display_only,0.3,215.0,0.43,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2017-10-29,2026-05-24,448,7.4936,10.0377,13.6003,18.0237,22.9043,0.0,短期下侧偏离 + 大周期弱势深水区,2026-05-24,51.96,黄偏绿,低吸均值回归,58.07,波动压缩 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,波动压缩,14.2575,15.06,0.3793,8.39,-0.6207,振幅未满ATR,60.42,39.58,19.13,0.4158,0.5569,中值下侧偏离,-20.0062,-1.7541,61.7,233MA下侧极端,-37.7151,-4.247,46.58,强趋势下行,-17.63,down,4,缩量,0.3709,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,71.87,58.0,58.07,18.0,53.0
UNI-USDT,1W,ok,weak_display_only,0.0,65.0,0.13,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2020-09-13,2026-05-24,298,17.5597,21.1116,26.772,34.5385,23.4092,0.0,短期下侧偏离 + 大周期弱势深水区,2026-05-24,2.99,黄偏红,趋势做空,82.0,高波动冷却 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,高波动冷却,27.8649,57.72,0.5915,31.05,-0.4085,振幅未满ATR,68.75,31.25,20.51,0.5084,0.6112,中值下侧偏离,-35.5804,-1.9821,41.94,233MA下侧极端,-59.1255,-5.1912,61.9,强趋势下行,-26.6736,down,4,缩量,0.6582,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,58.52,82.0,62.18,2.0,37.0
AAVE-USDT,1W,ok,weak_display_only,0.0,60.0,0.12,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2020-10-18,2026-05-24,293,13.9461,20.1033,26.7849,34.8412,19.0301,0.0,短期下侧偏离 + 大周期弱势深水区,2026-05-24,81.76,黄偏红,趋势做空,82.0,高波动冷却 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,高波动冷却,28.0015,59.46,0.4578,14.46,-0.5422,振幅未满ATR,62.5,37.5,26.47,0.4003,0.577,中值下侧偏离,-36.6987,-2.0704,20.83,233MA下侧极端,-40.8356,-2.4649,100.0,强趋势下行,-32.8591,down,4,缩量,0.2727,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,58.52,82.0,63.77,2.0,21.0
NEAR-USDT,1W,ok,weak_display_only,0.0,54.0,0.108,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2020-11-29,2026-05-24,287,25.0683,16.8213,16.3176,18.3381,68.2249,68.0328,短期上侧偏离 + 大周期弱势深水区,2026-05-24,2.31,黄偏红,震荡网格,22.0,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,低波动启动,16.4649,5.66,1.9703,91.06,0.9703,振幅已超ATR,16.67,83.33,25.0,1.367,0.9173,中值上侧偏离,21.2042,1.0625,40.0,233MA下侧极端,-42.1099,-4.418,73.81,强趋势上行,64.4383,up,3,放量,6.0031,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,35.4,90.0,29.63,22.0,63.0
OP-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-05-29,2026-05-24,209,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-03-19,2026-05-24,167,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUI-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2023-04-30,2026-05-24,161,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
