indicator,indicatorKey,horizon,lowOccurrences,highOccurrences,lowValueMedian,highValueMedian,lowAvgReturnPct,highAvgReturnPct,highMinusLowReturnPct,lowAvgAbsReturnPct,highAvgAbsReturnPct,highMinusLowAbsReturnPct,lowAvgExcursionPct,highAvgExcursionPct,highMinusLowExcursionPct
21日剩余动能ATR,remainingMomentumAtr21,10,15,15,-0.5901,0.6642,2.1709,-5.0958,-7.2667,5.8681,6.8045,0.9364,10.4507,15.3201,4.8694
21日涨跌,d21,1,15,15,-24.3469,13.9948,-0.6885,-0.1252,0.5633,2.1161,1.2404,-0.8757,5.4088,3.0082,-2.4006
21日涨跌,d21,3,15,15,-24.3469,13.9948,-0.662,-0.6632,-0.0012,2.8615,2.5401,-0.3214,8.1493,5.3516,-2.7977
21日涨跌,d21,5,15,15,-24.3469,13.9948,-1.3659,-0.4577,0.9082,2.2907,2.7687,0.478,9.2304,6.3964,-2.834
21日涨跌,d21,10,15,15,-24.3469,13.9948,-2.4736,-0.122,2.3516,3.3198,3.3913,0.0715,11.3712,8.2616,-3.1096
21日ATR百分位,atr21Percentile,1,15,15,13.3821,96.9739,-0.7816,-0.3613,0.4203,1.4987,1.5657,0.067,2.7023,4.411,1.7087
21日ATR百分位,atr21Percentile,3,15,15,13.3821,96.9739,-2.2076,-1.3335,0.8741,2.5263,2.8022,0.2759,5.1554,7.0028,1.8474
21日ATR百分位,atr21Percentile,5,13,15,13.3821,96.9739,-3.0087,-1.3719,1.6368,3.1866,2.2816,-0.905,6.2923,8.1942,1.9019
21日ATR百分位,atr21Percentile,10,9,15,13.3821,96.9739,-5.6241,-2.4474,3.1767,5.6241,3.072,-2.5521,8.6383,10.7249,2.0866
21日ATR率,atr21Pct,1,15,15,2.6716,5.2195,-0.9113,-0.3613,0.55,1.6284,1.5657,-0.0627,2.7664,4.411,1.6446
21日ATR率,atr21Pct,3,15,15,2.6716,5.2195,-2.1516,-1.3335,0.8181,2.4704,2.8022,0.3318,5.0053,7.0028,1.9975
21日ATR率,atr21Pct,5,13,15,2.6716,5.2195,-3.5061,-1.3719,2.1342,3.6509,2.2816,-1.3693,6.4736,8.1942,1.7206
21日ATR率,atr21Pct,10,9,15,2.6716,5.2195,-6.0667,-2.4474,3.6193,6.0667,3.072,-2.9947,8.9467,10.7249,1.7782
233MA乖离率,maDeviationRate,1,15,15,-34.2241,-8.5009,1.0561,-0.3839,-1.44,1.9401,1.3307,-0.6094,4.9882,2.5492,-2.439
233MA乖离率,maDeviationRate,3,15,15,-34.2241,-8.5009,1.8134,-1.4651,-3.2785,2.6406,1.9318,-0.7088,7.9075,4.2174,-3.6901
233MA乖离率,maDeviationRate,5,15,15,-34.2241,-8.5009,1.1343,-2.362,-3.4963,3.2188,2.6407,-0.5781,9.9845,5.5242,-4.4603
233MA乖离率,maDeviationRate,10,15,14,-34.2241,-8.2081,1.6512,-4.309,-5.9602,3.6406,4.5324,0.8918,12.6595,7.7634,-4.8961
233MA乖离ATR,maDeviationAtr,1,15,15,-10.5937,-3.4397,0.6491,-0.6072,-1.2563,2.3399,1.1408,-1.1991,5.1196,2.4088,-2.7108
233MA乖离ATR,maDeviationAtr,3,15,15,-10.5937,-3.4397,1.8919,-1.5594,-3.4513,3.845,2.0261,-1.8189,9.0741,4.0627,-5.0114
233MA乖离ATR,maDeviationAtr,5,15,15,-10.5937,-3.4397,1.9964,-2.2409,-4.2373,3.6442,2.5195,-1.1247,11.3206,5.2357,-6.0849
233MA乖离ATR,maDeviationAtr,10,15,14,-10.5937,-3.4218,4.065,-4.1659,-8.2309,4.8378,4.3894,-0.4484,14.5264,7.4556,-7.0708
3/21日ATR比,atr3To21,1,15,15,0.6617,1.3947,0.5191,-1.8333,-2.3524,1.6112,2.7653,1.1541,3.0041,6.0012,2.9971
3/21日ATR比,atr3To21,3,15,15,0.6617,1.3947,0.4846,-5.0238,-5.5084,3.3175,5.9607,2.6432,6.0885,11.2433,5.1548
3/21日ATR比,atr3To21,5,15,15,0.6617,1.3947,0.5677,-5.9817,-6.5494,2.7901,6.381,3.5909,7.7915,14.6082,6.8167
3/21日ATR比,atr3To21,10,15,15,0.6617,1.3947,2.1567,-7.4219,-9.5786,4.5135,7.7391,3.2256,10.1186,17.8339,7.7153
3/8日ATR比,atr3To8,1,15,15,0.7836,1.2347,-0.0684,-0.9784,-0.91,1.6107,2.1797,0.569,3.4057,5.251,1.8453
3/8日ATR比,atr3To8,3,15,15,0.7836,1.2347,-0.5664,-3.1775,-2.6111,2.942,4.4065,1.4645,6.1434,9.1452,3.0018
3/8日ATR比,atr3To8,5,15,15,0.7836,1.2347,-0.2437,-5.6151,-5.3714,2.7991,6.0754,3.2763,7.7437,12.7284,4.9847
3/8日ATR比,atr3To8,10,15,15,0.7836,1.2347,2.0893,-7.548,-9.6373,4.6181,8.7738,4.1557,11.0828,17.6655,6.5827
34日涨跌,d34,1,15,15,-27.5899,17.9666,0.1481,0.1989,0.0508,1.9156,1.074,-0.8416,4.1989,2.2927,-1.9062
34日涨跌,d34,3,15,15,-27.5899,17.9666,0.6935,0.2479,-0.4456,2.8236,1.9051,-0.9185,7.6409,4.0423,-3.5986
34日涨跌,d34,5,15,15,-27.5899,17.9666,1.2312,0.0448,-1.1864,2.879,2.1647,-0.7143,9.8549,5.2009,-4.654
34日涨跌,d34,10,15,15,-27.5899,17.9666,2.2187,-0.972,-3.1907,3.8777,3.6213,-0.2564,12.9016,6.8754,-6.0262
3日剩余动能ATR,remainingMomentumAtr3,1,15,15,-0.4981,0.4385,-0.6989,-0.8116,-0.1127,1.446,1.4478,0.0018,2.9776,4.1717,1.1941
3日剩余动能ATR,remainingMomentumAtr3,3,15,15,-0.4981,0.4385,0.0784,-0.3537,-0.4321,4.2866,2.9344,-1.3522,7.4701,6.9441,-0.526
3日剩余动能ATR,remainingMomentumAtr3,5,15,15,-0.4981,0.4385,0.1614,-1.4851,-1.6465,3.8462,3.1419,-0.7043,8.6029,8.2664,-0.3365
3日剩余动能ATR,remainingMomentumAtr3,10,15,14,-0.4981,0.4471,0.4964,-0.3884,-0.8848,5.8114,5.4904,-0.321,10.8978,12.263,1.3652
3日ATR百分位,atr3Percentile,1,15,15,6.7143,93.8369,0.0796,-0.047,-0.1266,1.3477,2.74,1.3923,2.7402,6.1266,3.3864
3日ATR百分位,atr3Percentile,3,15,15,6.7143,93.8369,0.6367,-1.7327,-2.3694,2.8391,4.3543,1.5152,5.3587,10.0902,4.7315
3日ATR百分位,atr3Percentile,5,15,15,6.7143,93.8369,-0.2205,-3.0036,-2.7831,2.2132,3.6533,1.4401,6.0571,12.7664,6.7093
3日ATR百分位,atr3Percentile,10,13,15,6.7143,93.8369,-1.2441,-3.004,-1.7599,3.8918,4.8936,1.0018,8.3148,13.2591,4.9443
3日ATR率,atr3Pct,1,15,15,2.0791,6.0595,0.0796,-0.047,-0.1266,1.3477,2.74,1.3923,2.7402,6.1266,3.3864
3日ATR率,atr3Pct,3,15,15,2.0791,6.0595,0.6367,-1.7327,-2.3694,2.8391,4.3543,1.5152,5.3587,10.0902,4.7315
3日ATR率,atr3Pct,5,15,15,2.0791,6.0595,-0.2205,-3.0036,-2.7831,2.2132,3.6533,1.4401,6.0571,12.7664,6.7093
3日ATR率,atr3Pct,10,13,15,2.0791,6.0595,-1.2441,-3.004,-1.7599,3.8918,4.8936,1.0018,8.3148,13.2591,4.9443
8/13日ATR比,atr8To13,1,15,15,0.9045,1.1087,0.3222,-1.3536,-1.6758,1.6287,2.7174,1.0887,2.9255,6.3304,3.4049
8/13日ATR比,atr8To13,3,15,15,0.9045,1.1087,1.2058,-3.4147,-4.6205,3.4221,5.3954,1.9733,6.4984,11.4701,4.9717
8/13日ATR比,atr8To13,5,15,15,0.9045,1.1087,0.9399,-5.2919,-6.2318,2.917,5.9416,3.0246,7.5743,14.6977,7.1234
8/13日ATR比,atr8To13,10,15,15,0.9045,1.1087,2.7217,-6.9219,-9.6436,4.6788,7.7681,3.0893,10.4353,17.5737,7.1384
8/21日ATR比,atr8To21,1,15,15,0.82,1.193,0.6477,-1.0865,-1.7342,1.5736,2.6635,1.0899,2.7251,6.1635,3.4384
8/21日ATR比,atr8To21,3,15,15,0.82,1.193,1.0602,-2.9512,-4.0114,3.1229,4.9319,1.809,5.4355,11.0485,5.613
8/21日ATR比,atr8To21,5,15,15,0.82,1.193,0.6532,-4.8536,-5.5068,3.1869,5.5033,2.3164,6.3799,14.2558,7.8759
8/21日ATR比,atr8To21,10,15,15,0.82,1.193,0.148,-6.1361,-6.2841,3.9349,6.9823,3.0474,9.2405,16.2073,6.9668
8日剩余动能ATR,remainingMomentumAtr8,1,15,15,-0.5502,0.6614,-0.2916,-0.6413,-0.3497,1.3728,1.4903,0.1175,2.8276,4.4477,1.6201
8日剩余动能ATR,remainingMomentumAtr8,3,15,15,-0.5502,0.6614,0.7665,-1.8355,-2.602,2.9959,3.6507,0.6548,6.2249,7.2722,1.0473
8日剩余动能ATR,remainingMomentumAtr8,5,15,15,-0.5502,0.6614,0.1644,-3.6194,-3.7838,3.4562,4.429,0.9728,7.8085,9.8705,2.062
8日剩余动能ATR,remainingMomentumAtr8,10,15,14,-0.5502,0.6729,1.5657,-4.6035,-6.1692,5.8488,6.4342,0.5854,10.8715,13.9764,3.1049
8日涨跌,d8,1,15,15,-12.1174,7.408,-0.9784,-0.8712,0.1072,2.5143,2.0369,-0.4774,5.9236,3.4643,-2.4593
8日涨跌,d8,3,15,15,-12.1174,7.408,-2.7574,-1.0638,1.6936,4.7381,3.654,-1.0841,10.593,6.4218,-4.1712
8日涨跌,d8,5,15,15,-12.1174,7.408,-4.608,-0.3588,4.2492,5.2577,2.8238,-2.4339,14.0257,7.3734,-6.6523
8日涨跌,d8,10,15,15,-12.1174,7.408,-7.1562,0.7944,7.9506,8.0024,4.2357,-3.7667,16.5553,9.7133,-6.842
8日ATR百分位,atr8Percentile,1,15,15,6.7837,97.1915,0.0202,-0.1785,-0.1987,1.7728,1.6061,-0.1667,2.893,4.9186,2.0256
8日ATR百分位,atr8Percentile,3,15,15,6.7837,97.1915,-0.66,-0.7661,-0.1061,2.5629,2.8614,0.2985,5.455,7.5391,2.0841
8日ATR百分位,atr8Percentile,5,15,15,6.7837,97.1915,-1.6102,-0.9939,0.6163,3.0846,2.2579,-0.8267,6.3042,8.8762,2.572
8日ATR百分位,atr8Percentile,10,13,15,6.7837,97.1915,-3.5901,-1.5875,2.0026,4.6556,3.3664,-1.2892,9.4193,10.9655,1.5462
8日ATR率,atr8Pct,1,15,15,2.325,6.1568,0.0202,-0.1785,-0.1987,1.7728,1.6061,-0.1667,2.893,4.9186,2.0256
8日ATR率,atr8Pct,3,15,15,2.325,6.1568,-0.66,-0.7661,-0.1061,2.5629,2.8614,0.2985,5.455,7.5391,2.0841
8日ATR率,atr8Pct,5,15,15,2.325,6.1568,-1.6102,-0.9939,0.6163,3.0846,2.2579,-0.8267,6.3042,8.8762,2.572
8日ATR率,atr8Pct,10,13,15,2.325,6.1568,-3.5901,-1.5875,2.0026,4.6556,3.3664,-1.2892,9.4193,10.9655,1.5462
波动倍率,volatilityMultiple,1,15,15,0.4224,1.6549,-0.332,-1.3149,-0.9829,1.4132,2.0124,0.5992,2.8706,4.9326,2.062
波动倍率,volatilityMultiple,3,15,15,0.4224,1.6549,0.8157,-2.371,-3.1867,2.9467,4.0111,1.0644,6.1383,8.3174,2.1791
波动倍率,volatilityMultiple,5,15,15,0.4224,1.6549,0.5215,-3.8033,-4.3248,3.1666,4.6129,1.4463,7.692,10.6708,2.9788
波动倍率,volatilityMultiple,10,15,15,0.4224,1.6549,2.4337,-4.6877,-7.1214,5.6053,6.3965,0.7912,10.7321,14.3319,3.5998
波动倍率百分位,volatilityMultiplePercentile,1,15,15,6.1559,90.7456,-0.332,-1.3149,-0.9829,1.4132,2.0124,0.5992,2.8706,4.9326,2.062
波动倍率百分位,volatilityMultiplePercentile,3,15,15,6.1559,90.7456,0.8157,-2.371,-3.1867,2.9467,4.0111,1.0644,6.1383,8.3174,2.1791
波动倍率百分位,volatilityMultiplePercentile,5,15,15,6.1559,90.7456,0.5215,-3.8033,-4.3248,3.1666,4.6129,1.4463,7.692,10.6708,2.9788
波动倍率百分位,volatilityMultiplePercentile,10,15,15,6.1559,90.7456,2.4337,-4.6877,-7.1214,5.6053,6.3965,0.7912,10.7321,14.3319,3.5998
波动超额,volatilityExcess,1,15,15,-0.5776,0.6549,-0.332,-1.3149,-0.9829,1.4132,2.0124,0.5992,2.8706,4.9326,2.062
波动超额,volatilityExcess,3,15,15,-0.5776,0.6549,0.8157,-2.371,-3.1867,2.9467,4.0111,1.0644,6.1383,8.3174,2.1791
波动超额,volatilityExcess,5,15,15,-0.5776,0.6549,0.5215,-3.8033,-4.3248,3.1666,4.6129,1.4463,7.692,10.6708,2.9788
波动超额,volatilityExcess,10,15,15,-0.5776,0.6549,2.4337,-4.6877,-7.1214,5.6053,6.3965,0.7912,10.7321,14.3319,3.5998
共振数量,resonanceCount,1,15,14,2,4,0.5873,-0.0276,-0.6149,1.6902,1.2025,-0.4877,4.1056,2.4459,-1.6597
共振数量,resonanceCount,3,15,12,2,4,0.3546,-0.129,-0.4836,3.172,1.5727,-1.5993,7.2321,3.9626,-3.2695
共振数量,resonanceCount,5,15,11,2,4,-0.7253,-1.0081,-0.2828,2.8686,1.7318,-1.1368,8.3979,5.0607,-3.3372
共振数量,resonanceCount,10,15,10,2,4,-1.8068,-3.1681,-1.3613,5.844,3.5237,-2.3203,12.2191,6.7132,-5.5059
拉伸热度,stretchHeat,1,15,15,24.6987,86.2879,-0.3107,-1.343,-1.0323,1.4182,2.2458,0.8276,2.5152,5.3549,2.8397
拉伸热度,stretchHeat,3,15,15,24.6987,86.2879,-0.9271,-3.5046,-2.5775,2.2294,5.2645,3.0351,4.253,10.8729,6.6199
拉伸热度,stretchHeat,5,15,15,24.6987,86.2879,-1.1106,-6.4437,-5.3331,2.9112,7.2746,4.3634,5.4158,14.7463,9.3305
拉伸热度,stretchHeat,10,14,15,24.0858,86.2879,-2.5616,-10.415,-7.8534,4.3529,11.1506,6.7977,7.6755,21.5436,13.8681
量能倍率,volumeMultiple,1,15,15,0.4118,1.7448,0.0467,-0.8291,-0.8758,1.5387,1.7756,0.2369,3.2465,4.6591,1.4126
量能倍率,volumeMultiple,3,15,15,0.4118,1.7448,0.3654,-2.7419,-3.1073,3.1056,3.9463,0.8407,6.2687,8.2004,1.9317
量能倍率,volumeMultiple,5,15,15,0.4118,1.7448,-0.0235,-3.7988,-3.7753,3.1516,4.6456,1.494,7.855,11.0897,3.2347
量能倍率,volumeMultiple,10,15,15,0.4118,1.7448,1.0951,-3.845,-4.9401,5.5343,5.8962,0.3619,10.9524,13.7226,2.7702
趋势动能,trendScore,1,15,15,-17.8427,8.7569,-0.6369,-0.7761,-0.1392,2.2772,1.7679,-0.5093,5.7577,3.289,-2.4687
趋势动能,trendScore,3,15,15,-17.8427,8.7569,-2.4561,-1.136,1.3201,4.4771,2.8788,-1.5983,10.257,5.6742,-4.5828
趋势动能,trendScore,5,15,15,-17.8427,8.7569,-2.8792,-0.7672,2.112,3.804,2.6632,-1.1408,12.7071,6.6989,-6.0082
趋势动能,trendScore,10,15,15,-17.8427,8.7569,-4.2187,-0.3594,3.8593,5.0649,3.1988,-1.8661,13.9143,8.1699,-5.7444
剩余动能率,remainingMomentumPct,1,15,15,-2.254,2.4032,0.0871,-1.2611,-1.3482,1.8601,1.9586,0.0985,3.682,5.0898,1.4078
剩余动能率,remainingMomentumPct,3,15,15,-2.254,2.4032,1.217,-2.5645,-3.7815,3.1247,4.6947,1.57,7.0675,9.4114,2.3439
剩余动能率,remainingMomentumPct,5,15,15,-2.254,2.4032,1.1757,-4.3277,-5.5034,3.5182,5.1373,1.6191,8.7794,12.3365,3.5571
剩余动能率,remainingMomentumPct,10,15,15,-2.254,2.4032,3.5263,-4.8506,-8.3769,5.8245,6.7926,0.9681,12.2342,15.6877,3.4535
剩余动能ATR,remainingMomentumAtr,1,15,15,-0.5776,0.6549,-0.332,-1.3149,-0.9829,1.4132,2.0124,0.5992,2.8706,4.9326,2.062
剩余动能ATR,remainingMomentumAtr,3,15,15,-0.5776,0.6549,0.8157,-2.371,-3.1867,2.9467,4.0111,1.0644,6.1383,8.3174,2.1791
剩余动能ATR,remainingMomentumAtr,5,15,15,-0.5776,0.6549,0.5215,-3.8033,-4.3248,3.1666,4.6129,1.4463,7.692,10.6708,2.9788
剩余动能ATR,remainingMomentumAtr,10,15,15,-0.5776,0.6549,2.4337,-4.6877,-7.1214,5.6053,6.3965,0.7912,10.7321,14.3319,3.5998
振幅/13日ATR,volatilityMultiple13,1,15,15,0.4256,1.6602,-0.332,-1.3149,-0.9829,1.4132,2.0124,0.5992,2.8706,4.9326,2.062
振幅/13日ATR,volatilityMultiple13,3,15,15,0.4256,1.6602,0.8157,-2.371,-3.1867,2.9467,4.0111,1.0644,6.1383,8.3174,2.1791
振幅/13日ATR,volatilityMultiple13,5,15,15,0.4256,1.6602,0.5215,-3.8033,-4.3248,3.1666,4.6129,1.4463,7.692,10.6708,2.9788
振幅/13日ATR,volatilityMultiple13,10,15,15,0.4256,1.6602,2.4337,-4.6877,-7.1214,5.6053,6.3965,0.7912,10.7321,14.3319,3.5998
振幅/13日ATR百分位,volatilityMultiple13Percentile,1,15,15,6.1691,91.0167,-0.332,-1.3149,-0.9829,1.4132,2.0124,0.5992,2.8706,4.9326,2.062
振幅/13日ATR百分位,volatilityMultiple13Percentile,3,15,15,6.1691,91.0167,0.8157,-2.371,-3.1867,2.9467,4.0111,1.0644,6.1383,8.3174,2.1791
振幅/13日ATR百分位,volatilityMultiple13Percentile,5,15,15,6.1691,91.0167,0.5215,-3.8033,-4.3248,3.1666,4.6129,1.4463,7.692,10.6708,2.9788
振幅/13日ATR百分位,volatilityMultiple13Percentile,10,15,15,6.1691,91.0167,2.4337,-4.6877,-7.1214,5.6053,6.3965,0.7912,10.7321,14.3319,3.5998
振幅/21日ATR,volatilityMultiple21,1,15,15,0.4099,1.6642,-0.4965,-1.2037,-0.7072,1.2486,1.9012,0.6526,2.7493,4.866,2.1167
振幅/21日ATR,volatilityMultiple21,3,15,15,0.4099,1.6642,0.6061,-3.0398,-3.6459,3.1564,4.6799,1.5235,5.9588,8.9396,2.9808
振幅/21日ATR,volatilityMultiple21,5,15,15,0.4099,1.6642,0.4868,-4.3515,-4.8383,3.2013,5.1611,1.9598,7.3351,11.8647,4.5296
振幅/21日ATR,volatilityMultiple21,10,15,15,0.4099,1.6642,2.1709,-5.0958,-7.2667,5.8681,6.8045,0.9364,10.4507,15.3201,4.8694
振幅/21日ATR百分位,volatilityMultiple21Percentile,1,15,15,5.7078,90.1322,-0.332,-1.2037,-0.8717,1.4132,1.9012,0.488,2.8706,4.866,1.9954
振幅/21日ATR百分位,volatilityMultiple21Percentile,3,15,15,5.7078,90.1322,0.8157,-3.0398,-3.8555,2.9467,4.6799,1.7332,6.1383,8.9396,2.8013
振幅/21日ATR百分位,volatilityMultiple21Percentile,5,15,15,5.7078,90.1322,0.5215,-4.3515,-4.873,3.1666,5.1611,1.9945,7.692,11.8647,4.1727
振幅/21日ATR百分位,volatilityMultiple21Percentile,10,15,15,5.7078,90.1322,2.4337,-5.0958,-7.5295,5.6053,6.8045,1.1992,10.7321,15.3201,4.588
振幅/3日ATR,volatilityMultiple3,1,15,15,0.5019,1.4385,-0.6989,-0.8116,-0.1127,1.446,1.4478,0.0018,2.9776,4.1717,1.1941
振幅/3日ATR,volatilityMultiple3,3,15,15,0.5019,1.4385,0.0784,-0.3537,-0.4321,4.2866,2.9344,-1.3522,7.4701,6.9441,-0.526
振幅/3日ATR,volatilityMultiple3,5,15,15,0.5019,1.4385,0.1614,-1.4851,-1.6465,3.8462,3.1419,-0.7043,8.6029,8.2664,-0.3365
振幅/3日ATR,volatilityMultiple3,10,15,14,0.5019,1.4471,0.4964,-0.3884,-0.8848,5.8114,5.4904,-0.321,10.8978,12.263,1.3652
振幅/3日ATR百分位,volatilityMultiple3Percentile,1,15,15,4.7807,90.8824,-0.6989,-0.8116,-0.1127,1.446,1.4478,0.0018,2.9776,4.1717,1.1941
振幅/3日ATR百分位,volatilityMultiple3Percentile,3,15,15,4.7807,90.8824,0.0784,-0.3537,-0.4321,4.2866,2.9344,-1.3522,7.4701,6.9441,-0.526
振幅/3日ATR百分位,volatilityMultiple3Percentile,5,15,15,4.7807,90.8824,0.1614,-1.4851,-1.6465,3.8462,3.1419,-0.7043,8.6029,8.2664,-0.3365
振幅/3日ATR百分位,volatilityMultiple3Percentile,10,15,14,4.7807,91.2075,0.4964,-0.3884,-0.8848,5.8114,5.4904,-0.321,10.8978,12.263,1.3652
振幅/8日ATR,volatilityMultiple8,1,15,15,0.4498,1.6614,-0.2916,-0.6413,-0.3497,1.3728,1.4903,0.1175,2.8276,4.4477,1.6201
振幅/8日ATR,volatilityMultiple8,3,15,15,0.4498,1.6614,0.7665,-1.8355,-2.602,2.9959,3.6507,0.6548,6.2249,7.2722,1.0473
振幅/8日ATR,volatilityMultiple8,5,15,15,0.4498,1.6614,0.1644,-3.6194,-3.7838,3.4562,4.429,0.9728,7.8085,9.8705,2.062
振幅/8日ATR,volatilityMultiple8,10,15,14,0.4498,1.673,1.5657,-4.6035,-6.1692,5.8488,6.4342,0.5854,10.8715,13.9764,3.1049
振幅/8日ATR百分位,volatilityMultiple8Percentile,1,15,15,6.4863,91.9284,-0.2916,-0.6413,-0.3497,1.3728,1.4903,0.1175,2.8276,4.4477,1.6201
振幅/8日ATR百分位,volatilityMultiple8Percentile,3,15,15,6.4863,91.9284,0.7665,-1.8355,-2.602,2.9959,3.6507,0.6548,6.2249,7.2722,1.0473
振幅/8日ATR百分位,volatilityMultiple8Percentile,5,15,15,6.4863,91.9284,0.1644,-3.6194,-3.7838,3.4562,4.429,0.9728,7.8085,9.8705,2.062
振幅/8日ATR百分位,volatilityMultiple8Percentile,10,15,14,6.4863,92.1526,1.5657,-4.6035,-6.1692,5.8488,6.4342,0.5854,10.8715,13.9764,3.1049
振幅率,rangePct,1,14,15,1.2267,6.6554,-0.2467,-0.4995,-0.2528,1.1843,1.9251,0.7408,2.7647,5.2691,2.5044
振幅率,rangePct,3,14,15,1.2267,6.6554,0.3417,-2.2244,-2.5661,3.0126,4.5983,1.5857,5.5566,9.5657,4.0091
振幅率,rangePct,5,14,15,1.2267,6.6554,-0.3578,-3.5641,-3.2063,3.1125,4.5651,1.4526,6.9264,12.3819,5.4555
振幅率,rangePct,10,14,15,1.2267,6.6554,-0.5877,-3.6284,-3.0407,5.6864,5.6014,-0.085,10.0126,14.9379,4.9253
中值乖离率,middleDeviationRate,1,15,15,-10.5034,6.4261,-0.4717,-0.2621,0.2096,2.3497,1.6563,-0.6934,5.7688,3.322,-2.4468
中值乖离率,middleDeviationRate,3,15,15,-10.5034,6.4261,-1.0429,-1.2749,-0.232,3.5013,2.907,-0.5943,9.3216,5.7465,-3.5751
中值乖离率,middleDeviationRate,5,15,15,-10.5034,6.4261,-3.3861,-1.1327,2.2534,4.3109,2.915,-1.3959,12.1773,6.9392,-5.2381
中值乖离率,middleDeviationRate,10,15,15,-10.5034,6.4261,-3.9634,-0.3649,3.5985,4.8983,3.6567,-1.2416,14.3989,8.6484,-5.7505
中值乖离ATR,middleDeviationAtr,1,15,15,-2.2785,1.8479,-1.1359,-0.5692,0.5667,2.3299,1.2003,-1.1296,5.7448,2.5234,-3.2214
中值乖离ATR,middleDeviationAtr,3,14,15,-2.2811,1.8479,-2.8957,-0.9553,1.9404,5.226,1.9041,-3.3219,11.1317,4.4023,-6.7294
