stateId,stateName,routeLabel,routeKey,light,signalType,horizon,occurrences,avgScore,successRatePct,directionalWinRatePct,avgRouteReturnPct,avgFutureReturnPct,rankScore
7,下侧趋势共振态,向下突破,breakoutDown,红灯,波动方向信号,3,456,26.1,25.88,45.61,4.4319,0.6381,22.79
7,下侧趋势共振态,低吸均值回归,meanReversionLong,红灯,位置回归信号,3,456,26.8,31.36,54.39,0.6381,0.6381,22.62
7,下侧趋势共振态,趋势做空,trendShort,红灯,方向信号,10,456,58.33,43.42,43.42,-2.2803,2.2803,21.86
7,下侧趋势共振态,低吸均值回归,meanReversionLong,红灯,位置回归信号,1,456,26.8,32.68,50.66,0.1252,0.1252,20.14
7,下侧趋势共振态,向下突破,breakoutDown,红灯,波动方向信号,1,456,26.1,6.8,49.34,2.557,0.1252,12.51
7,下侧趋势共振态,向上突破,breakoutUp,红灯,波动方向信号,1,456,12.35,7.89,50.66,2.5385,0.1252,11.22
7,下侧趋势共振态,高抛均值回归,meanReversionShort,红灯,位置回归信号,1,456,15.01,12.5,49.34,-0.1252,0.1252,7.71
7,下侧趋势共振态,高抛均值回归,meanReversionShort,红灯,位置回归信号,3,456,15.01,12.5,45.61,-0.6381,0.6381,4.64
7,下侧趋势共振态,高抛均值回归,meanReversionShort,红灯,位置回归信号,5,456,15.01,12.28,44.96,-1.2351,1.2351,2.98
7,下侧趋势共振态,高抛均值回归,meanReversionShort,红灯,位置回归信号,10,456,15.01,9.43,43.42,-2.2803,2.2803,-1.23
4,上侧趋势共振态,向上突破,breakoutUp,绿灯,波动方向信号,10,432,62.93,64.35,57.18,8.1473,2.1155,89.23
4,上侧趋势共振态,趋势追多,trendLong,绿灯,方向信号,10,432,93.84,57.18,57.18,2.1155,2.1155,80.8
4,上侧趋势共振态,震荡网格,gridNeutral,绿灯,震荡状态信号,1,432,23.69,84.49,,-1.8969,0.2442,68.49
4,上侧趋势共振态,震荡网格,gridNeutral,绿灯,震荡状态信号,3,432,23.69,84.26,,-3.5504,0.724,65.08
4,上侧趋势共振态,趋势追多,trendLong,黄灯,方向信号,5,432,93.84,53.24,53.24,1.033,1.033,59.7
4,上侧趋势共振态,趋势追多,trendLong,黄灯,方向信号,3,432,93.84,52.31,52.31,0.724,0.724,58.15
4,上侧趋势共振态,趋势追多,trendLong,黄灯,方向信号,1,432,93.84,53.01,53.01,0.2442,0.2442,57.89
4,上侧趋势共振态,向下突破,breakoutDown,黄灯,波动方向信号,10,432,13.91,55.79,42.82,6.1643,2.1155,50.99
4,上侧趋势共振态,高抛均值回归,meanReversionShort,黄灯,位置回归信号,5,432,56.62,59.49,46.76,-1.033,1.033,48.11
4,上侧趋势共振态,向上突破,breakoutUp,红灯,波动方向信号,5,432,62.93,50,53.24,5.4232,1.033,46.46
4,上侧趋势共振态,震荡网格,gridNeutral,黄灯,震荡状态信号,5,432,23.69,81.48,,-4.8184,1.033,46.29
4,上侧趋势共振态,高抛均值回归,meanReversionShort,黄灯,位置回归信号,10,432,56.62,64.35,42.82,-2.1155,2.1155,45.97
4,上侧趋势共振态,震荡网格,gridNeutral,黄灯,震荡状态信号,10,432,23.69,80.09,,-7.2322,2.1155,40.84
4,上侧趋势共振态,防守等待,waitDefense,观察,风险过滤信号,10,432,41.51,59.49,,2.5584,2.1155,39.36
4,上侧趋势共振态,向上突破,breakoutUp,红灯,波动方向信号,3,432,62.93,37.96,52.31,4.0646,0.724,37.81
4,上侧趋势共振态,防守等待,waitDefense,观察,风险过滤信号,5,432,41.51,56.48,,1.8927,1.033,36.67
4,上侧趋势共振态,防守等待,waitDefense,观察,风险过滤信号,3,432,41.51,52.78,,1.4132,0.724,34.05
4,上侧趋势共振态,高抛均值回归,meanReversionShort,红灯,位置回归信号,3,432,56.62,55.56,47.69,-0.724,0.724,32.47
4,上侧趋势共振态,防守等待,waitDefense,观察,风险过滤信号,1,432,41.51,48.15,,0.8264,0.2442,30.79
4,上侧趋势共振态,高抛均值回归,meanReversionShort,红灯,位置回归信号,1,432,56.62,48.38,46.99,-0.2442,0.2442,29.82
4,上侧趋势共振态,向下突破,breakoutDown,红灯,波动方向信号,5,432,13.91,44.21,46.76,4.4308,1.033,29.48
4,上侧趋势共振态,向上突破,breakoutUp,红灯,波动方向信号,1,432,62.93,15.74,53.01,2.0717,0.2442,24.21
4,上侧趋势共振态,趋势做空,trendShort,红灯,方向信号,1,432,23.26,46.99,46.99,-0.2442,0.2442,23.19
4,上侧趋势共振态,趋势做空,trendShort,红灯,方向信号,3,432,23.26,47.69,47.69,-0.724,0.724,22.92
4,上侧趋势共振态,向下突破,breakoutDown,红灯,波动方向信号,3,432,13.91,32.64,47.69,3.4393,0.724,22.8
4,上侧趋势共振态,趋势做空,trendShort,红灯,方向信号,5,432,23.26,46.76,46.76,-1.033,1.033,21.38
4,上侧趋势共振态,趋势做空,trendShort,红灯,方向信号,10,432,23.26,42.82,42.82,-2.1155,2.1155,15.28
4,上侧趋势共振态,低吸均值回归,meanReversionLong,红灯,位置回归信号,10,432,18.22,0,57.18,2.1155,2.1155,11.46
4,上侧趋势共振态,向下突破,breakoutDown,红灯,波动方向信号,1,432,13.91,11.57,46.99,1.9852,0.2442,10.03
4,上侧趋势共振态,低吸均值回归,meanReversionLong,红灯,位置回归信号,5,432,18.22,0.23,53.24,1.033,1.033,7.23
4,上侧趋势共振态,低吸均值回归,meanReversionLong,红灯,位置回归信号,3,432,18.22,0,52.31,0.724,0.724,6
4,上侧趋势共振态,低吸均值回归,meanReversionLong,红灯,位置回归信号,1,432,18.22,0.93,53.01,0.2442,0.2442,5.84
2,放量波动扩张态,向上突破,breakoutUp,黄灯,波动方向信号,10,297,75.55,64.98,52.86,7.5259,1.4178,74.42
2,放量波动扩张态,震荡网格,gridNeutral,绿灯,震荡状态信号,1,297,20.68,80.81,,-1.8417,0.2613,66.4
2,放量波动扩张态,震荡网格,gridNeutral,绿灯,震荡状态信号,3,297,20.68,80.47,,-3.2503,0.4751,63.43
2,放量波动扩张态,向下突破,breakoutDown,黄灯,波动方向信号,10,297,42.15,59.93,47.14,6.0661,1.4178,60.12
2,放量波动扩张态,震荡网格,gridNeutral,绿灯,震荡状态信号,5,297,20.68,76.77,,-4.5454,0.6535,59.18
2,放量波动扩张态,趋势追多,trendLong,黄灯,方向信号,10,297,81.98,52.86,52.86,1.4178,1.4178,57.95
2,放量波动扩张态,趋势追多,trendLong,黄灯,方向信号,3,297,81.98,51.85,51.85,0.4751,0.4751,55.06
2,放量波动扩张态,趋势追多,trendLong,黄灯,方向信号,1,297,81.98,52.19,52.19,0.2613,0.2613,54.97
2,放量波动扩张态,趋势追多,trendLong,黄灯,方向信号,5,297,81.98,51.18,51.18,0.6535,0.6535,54.74
2,放量波动扩张态,向上突破,breakoutUp,红灯,波动方向信号,5,297,75.55,49.83,51.18,4.855,0.6535,46.38
2,放量波动扩张态,防守等待,waitDefense,观察,风险过滤信号,10,297,32.56,61.95,,3.0175,1.4178,39.77
2,放量波动扩张态,向上突破,breakoutUp,红灯,波动方向信号,3,297,75.55,38.38,51.85,3.513,0.4751,38.92
2,放量波动扩张态,震荡网格,gridNeutral,黄灯,震荡状态信号,10,297,20.68,74.75,,-7.4528,1.4178,37.45
