date,label,reason,expectedDirection,close,dayChangePct,trendScorePct,resonance,volatilityMultiple,volumeMultiple,middleDeviationRate,middleDeviationAtr,middlePositionPct,maDeviationRate,maDeviationAtr,maPositionPct,horizon,futureReturnPct,maxUpPct,maxDownPct
2026-02-04,过冷,中值位置 0%，MA位置 0%,1,67456.4,-8.9682,-25.883,down:4/4,2.0618,2.5379,-17.5842,-3.9298,0,-35.1898,-10.0008,0,1,1.674,2.5284,-11.1886
2026-02-04,过冷,中值位置 0%，MA位置 0%,1,67456.4,-8.9682,-25.883,down:4/4,2.0618,2.5379,-17.5842,-3.9298,0,-35.1898,-10.0008,0,3,5.48,6.2909,-11.1886
2026-02-04,过冷,中值位置 0%，MA位置 0%,1,67456.4,-8.9682,-25.883,down:4/4,2.0618,2.5379,-17.5842,-3.9298,0,-35.1898,-10.0008,0,5,2.658,7.1448,-11.1886
2026-02-04,过冷,中值位置 0%，MA位置 0%,1,67456.4,-8.9682,-25.883,down:4/4,2.0618,2.5379,-17.5842,-3.9298,0,-35.1898,-10.0008,0,10,2.379,7.1448,-11.1886
2026-02-04,波动爆发,波动倍率 2.06x,0,67456.4,-8.9682,-25.883,down:4/4,2.0618,2.5379,-17.5842,-3.9298,0,-35.1898,-10.0008,0,1,1.674,2.5284,-11.1886
2026-02-04,波动爆发,波动倍率 2.06x,0,67456.4,-8.9682,-25.883,down:4/4,2.0618,2.5379,-17.5842,-3.9298,0,-35.1898,-10.0008,0,3,5.48,6.2909,-11.1886
2026-02-04,波动爆发,波动倍率 2.06x,0,67456.4,-8.9682,-25.883,down:4/4,2.0618,2.5379,-17.5842,-3.9298,0,-35.1898,-10.0008,0,5,2.658,7.1448,-11.1886
2026-02-04,波动爆发,波动倍率 2.06x,0,67456.4,-8.9682,-25.883,down:4/4,2.0618,2.5379,-17.5842,-3.9298,0,-35.1898,-10.0008,0,10,2.379,7.1448,-11.1886
2026-02-04,放量,量能倍率 2.54x,0,67456.4,-8.9682,-25.883,down:4/4,2.0618,2.5379,-17.5842,-3.9298,0,-35.1898,-10.0008,0,1,1.674,2.5284,-11.1886
2026-02-04,放量,量能倍率 2.54x,0,67456.4,-8.9682,-25.883,down:4/4,2.0618,2.5379,-17.5842,-3.9298,0,-35.1898,-10.0008,0,3,5.48,6.2909,-11.1886
2026-02-04,放量,量能倍率 2.54x,0,67456.4,-8.9682,-25.883,down:4/4,2.0618,2.5379,-17.5842,-3.9298,0,-35.1898,-10.0008,0,5,2.658,7.1448,-11.1886
2026-02-04,放量,量能倍率 2.54x,0,67456.4,-8.9682,-25.883,down:4/4,2.0618,2.5379,-17.5842,-3.9298,0,-35.1898,-10.0008,0,10,2.379,7.1448,-11.1886
2026-02-05,强趋势↓,共振 4/4，趋势动能 -22.80%,-1,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,1,0.7825,4.5409,-1.8451
2026-02-05,强趋势↓,共振 4/4，趋势动能 -22.80%,-1,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,3,1.3625,5.3807,-1.8451
2026-02-05,强趋势↓,共振 4/4，趋势动能 -22.80%,-1,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,5,-3.0571,5.3807,-4.1759
2026-02-05,强趋势↓,共振 4/4，趋势动能 -22.80%,-1,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,10,-1.5928,5.3807,-5.1113
2026-02-05,过冷,中值位置 20%，MA位置 6%,1,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,1,0.7825,4.5409,-1.8451
2026-02-05,过冷,中值位置 20%，MA位置 6%,1,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,3,1.3625,5.3807,-1.8451
2026-02-05,过冷,中值位置 20%，MA位置 6%,1,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,5,-3.0571,5.3807,-4.1759
2026-02-05,过冷,中值位置 20%，MA位置 6%,1,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,10,-1.5928,5.3807,-5.1113
2026-02-05,波动爆发,波动倍率 2.28x,0,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,1,0.7825,4.5409,-1.8451
2026-02-05,波动爆发,波动倍率 2.28x,0,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,3,1.3625,5.3807,-1.8451
2026-02-05,波动爆发,波动倍率 2.28x,0,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,5,-3.0571,5.3807,-4.1759
2026-02-05,波动爆发,波动倍率 2.28x,0,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,10,-1.5928,5.3807,-5.1113
2026-02-05,放量,量能倍率 3.24x,0,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,1,0.7825,4.5409,-1.8451
2026-02-05,放量,量能倍率 3.24x,0,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,3,1.3625,5.3807,-1.8451
2026-02-05,放量,量能倍率 3.24x,0,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,5,-3.0571,5.3807,-4.1759
2026-02-05,放量,量能倍率 3.24x,0,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,10,-1.5928,5.3807,-5.1113
2026-02-05,背离,共振向下，当日涨跌 1.67%,0,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,1,0.7825,4.5409,-1.8451
2026-02-05,背离,共振向下，当日涨跌 1.67%,0,68585.6,1.6738,-22.7962,down:4/4,2.2781,3.2394,-11.7986,-2.2588,19.8631,-34.0066,-8.7014,5.7512,3,1.3625,5.3807,-1.8451
