scope,regimeKey,regimeLabel,treeType,horizon,routeKey,routeLabel,technicalQuality,macroQuality,technicalSamples,macroSamples,technicalAccuracyPct,macroAccuracyPct,deltaAccuracyPct,technicalAccuracyLiftPct,macroAccuracyLiftPct,deltaAccuracyLiftPct,technicalFitPrecisionPct,macroFitPrecisionPct,deltaFitPrecisionPct,technicalFitLiftPct,macroFitLiftPct,deltaFitLiftPct,technicalNotFitPrecisionPct,macroNotFitPrecisionPct,deltaNotFitPrecisionPct,technicalNotFitLiftPct,macroNotFitLiftPct,deltaNotFitLiftPct,technicalBestLiftPct,macroBestLiftPct,deltaBestLiftPct,technicalBestPrecisionPct,macroBestPrecisionPct,deltaBestPrecisionPct,decision,technicalReason,macroReason
holdout,,,策略适配树,10,breakoutUp,向上突破,观察,弱参考,870,870,55.75,57.59,1.84,-5.86,-4.02,1.84,67.2,66.6,-0.6,5.59,4.99,-0.6,44.08,45.23,1.15,5.69,6.84,1.15,5.69,6.84,1.15,67.2,66.6,-0.6,不保留宏观,时间外验证有提升，但还不够强,没有通过适合/不适合信号完整门槛
holdout,,,策略适配树,10,gridNeutral,震荡网格,弱参考,弱参考,870,870,83.91,82.64,-1.27,-0.11,-1.38,-1.27,84,85.11,1.11,-0.02,1.09,1.11,0,36.36,36.36,-15.98,20.39,36.37,-0.02,20.39,20.41,84,85.11,1.11,仅观察,相对基准提升不足5%,没有通过适合/不适合信号完整门槛
holdout,,,策略适配树,10,meanReversionLong,低吸均值回归,弱参考,弱参考,870,870,87.7,87.47,-0.23,-0.11,-0.34,-0.23,44.44,46.15,1.71,32.26,33.97,1.71,88.15,89.41,1.26,0.34,1.59,1.25,32.26,33.97,1.71,88.15,89.41,1.26,宏观影响小,没有通过适合/不适合信号完整门槛,没有通过适合/不适合信号完整门槛
holdout,,,策略适配树,10,meanReversionShort,高抛均值回归,弱参考,弱参考,870,870,81.03,80.11,-0.92,-1.03,-1.95,-0.92,42.62,43.7,1.08,24.69,25.77,1.08,83.93,86.8,2.87,1.86,4.73,2.87,24.69,25.77,1.08,83.93,86.8,2.87,宏观影响小,没有通过适合/不适合信号完整门槛,没有通过适合/不适合信号完整门槛
holdout,,,策略适配树,10,trendLong,趋势追多,弱参考,弱参考,870,870,48.62,48.05,-0.57,-3.56,-4.14,-0.58,51.61,50.14,-1.47,-0.57,-2.04,-1.47,47.63,38.61,-9.02,-0.19,-9.21,-9.02,-0.19,-2.04,-1.85,51.61,50.14,-1.47,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
holdout,,,策略适配树,10,trendShort,趋势做空,弱参考,弱参考,870,870,48.62,48.05,-0.57,-3.56,-4.14,-0.58,47.63,38.61,-9.02,-0.19,-9.21,-9.02,51.61,50.14,-1.47,-0.57,-2.04,-1.47,-0.19,-2.04,-1.85,51.61,50.14,-1.47,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
holdout,,,策略适配树,10,waitDefense,防守等待,弱参考,弱参考,870,870,59.77,54.71,-5.06,-4.71,-9.77,-5.06,64.05,63.85,-0.2,-0.43,-0.64,-0.21,32.77,34.08,1.31,-2.74,-1.43,1.31,-0.43,-0.64,-0.21,64.05,63.85,-0.2,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,波动变化树,1,,,弱参考,弱参考,366,366,73.22,73.22,0,0.27,0.27,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0.27,0.27,0,73.22,73.22,0,宏观影响小,相对多数类基准提升不足5%,相对多数类基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,波动变化树,3,,,弱参考,弱参考,366,366,47.27,46.99,-0.28,0.55,0.27,-0.28,0,0,0,0,0,0,0,0,0,-100,-100,0,0.55,0.27,-0.28,47.27,46.99,-0.28,宏观影响小,准确率低于50%；相对多数类基准提升不足5%,准确率低于50%；相对多数类基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,波动变化树,5,,,弱参考,弱参考,366,366,45.08,39.34,-5.74,6.28,0.55,-5.73,0,0,0,0,0,0,0,0,0,-100,-100,0,6.28,0.55,-5.73,45.08,39.34,-5.74,不保留宏观,准确率低于50%,准确率低于50%；相对多数类基准提升不足5%
