status,path,instrument,bar,cleanRows,snapshotCount,dataStatus,historyQuality,periodWeight,observationRows,environmentCounts
ok,/Users/guanlan/Desktop/--whd/data/clean/WLD_USDT_1D_clean.json,WLD-USDT,1D,1045,813,ok,half_weight,0.7,2143,"{'TREND': 1919, 'CHAOS': 180, 'RANGE': 44}"
ok,/Users/guanlan/Desktop/--whd/data/clean/AR_USDT_1D_clean.json,AR-USDT,1D,1622,1390,ok,half_weight,0.7,4027,"{'RANGE': 192, 'TREND': 3488, 'CHAOS': 347}"
ok,/Users/guanlan/Desktop/--whd/data/clean/XLM_USDT_1D_clean.json,XLM-USDT,1D,3065,2833,ok,half_weight,0.7,8154,"{'TREND': 7079, 'CHAOS': 639, 'RANGE': 436}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ICP_USDT_1D_clean.json,ICP-USDT,1D,1849,1617,ok,half_weight,0.7,4563,"{'CHAOS': 418, 'TREND': 3952, 'RANGE': 193}"
ok,/Users/guanlan/Desktop/--whd/data/clean/HBAR_USDT_1D_clean.json,HBAR-USDT,1D,2451,2219,ok,half_weight,0.7,6511,"{'TREND': 5679, 'CHAOS': 469, 'RANGE': 363}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ALGO_USDT_1D_clean.json,ALGO-USDT,1D,2543,2311,ok,half_weight,0.7,6592,"{'TREND': 5736, 'CHAOS': 502, 'RANGE': 354}"
ok,/Users/guanlan/Desktop/--whd/data/clean/LDO_USDT_1D_clean.json,LDO-USDT,1D,1370,1138,ok,half_weight,0.7,3336,"{'TREND': 2952, 'RANGE': 160, 'CHAOS': 224}"
ok,/Users/guanlan/Desktop/--whd/data/clean/CRV_USDT_1D_clean.json,CRV-USDT,1D,2119,1887,ok,half_weight,0.7,5517,"{'TREND': 4894, 'RANGE': 243, 'CHAOS': 380}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ENS_USDT_1D_clean.json,ENS-USDT,1D,1667,1435,ok,half_weight,0.7,4212,"{'TREND': 3600, 'RANGE': 300, 'CHAOS': 312}"
ok,/Users/guanlan/Desktop/--whd/data/clean/PENDLE_USDT_1D_clean.json,PENDLE-USDT,1D,614,382,ok,half_weight,0.53,1043,"{'TREND': 880, 'RANGE': 64, 'CHAOS': 99}"
ok,/Users/guanlan/Desktop/--whd/data/clean/JUP_USDT_1D_clean.json,JUP-USDT,1D,854,622,ok,half_weight,0.7,1749,"{'TREND': 1525, 'CHAOS': 140, 'RANGE': 84}"
ok,/Users/guanlan/Desktop/--whd/data/clean/PYTH_USDT_1D_clean.json,PYTH-USDT,1D,926,694,ok,half_weight,0.7,1996,"{'TREND': 1768, 'CHAOS': 160, 'RANGE': 68}"
ok,/Users/guanlan/Desktop/--whd/data/clean/TIA_USDT_1D_clean.json,TIA-USDT,1D,945,713,ok,half_weight,0.7,1912,"{'TREND': 1590, 'RANGE': 128, 'CHAOS': 194}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ONDO_USDT_1D_clean.json,ONDO-USDT,1D,674,442,ok,half_weight,0.62,1145,"{'TREND': 944, 'RANGE': 97, 'CHAOS': 104}"
ok,/Users/guanlan/Desktop/--whd/data/clean/FET_USDT_1D_clean.json,FET-USDT,1D,922,690,ok,half_weight,0.7,2009,"{'TREND': 1736, 'CHAOS': 181, 'RANGE': 92}"
ok,/Users/guanlan/Desktop/--whd/data/clean/PEPE_USDT_1D_clean.json,PEPE-USDT,1D,1129,897,ok,half_weight,0.7,2725,"{'RANGE': 89, 'TREND': 2482, 'CHAOS': 154}"
ok,/Users/guanlan/Desktop/--whd/data/clean/SHIB_USDT_1D_clean.json,SHIB-USDT,1D,1852,1620,ok,half_weight,0.7,4286,"{'TREND': 3680, 'CHAOS': 317, 'RANGE': 289}"
ok,/Users/guanlan/Desktop/--whd/data/clean/BONK_USDT_1D_clean.json,BONK-USDT,1D,877,645,ok,half_weight,0.7,1808,"{'TREND': 1656, 'CHAOS': 108, 'RANGE': 44}"
ok,/Users/guanlan/Desktop/--whd/data/clean/FLOKI_USDT_1D_clean.json,FLOKI-USDT,1D,1265,1033,ok,half_weight,0.7,3179,"{'TREND': 2772, 'RANGE': 135, 'CHAOS': 272}"
ok,/Users/guanlan/Desktop/--whd/data/clean/WIF_USDT_1D_clean.json,WIF-USDT,1D,779,547,ok,half_weight,0.7,1477,"{'TREND': 1362, 'CHAOS': 60, 'RANGE': 55}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ORDI_USDT_1D_clean.json,ORDI-USDT,1D,1110,878,ok,half_weight,0.7,2529,"{'TREND': 2277, 'CHAOS': 160, 'RANGE': 92}"
ok,/Users/guanlan/Desktop/--whd/data/clean/SATS_USDT_1D_clean.json,SATS-USDT,1D,898,666,ok,half_weight,0.7,1690,"{'RANGE': 82, 'TREND': 1440, 'CHAOS': 168}"
ok,/Users/guanlan/Desktop/--whd/data/clean/NOT_USDT_1D_clean.json,NOT-USDT,1D,748,516,ok,half_weight,0.7,1396,"{'TREND': 1221, 'CHAOS': 122, 'RANGE': 53}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ENA_USDT_1D_clean.json,ENA-USDT,1D,259,27,ok,weak_display_only,0.04,51,"{'TREND': 48, 'CHAOS': 3}"
ok,/Users/guanlan/Desktop/--whd/data/clean/W_USDT_1D_clean.json,W-USDT,1D,791,559,ok,half_weight,0.7,1612,"{'TREND': 1472, 'CHAOS': 112, 'RANGE': 28}"
ok,/Users/guanlan/Desktop/--whd/data/clean/STRK_USDT_1D_clean.json,STRK-USDT,1D,834,602,ok,half_weight,0.7,1683,"{'CHAOS': 137, 'TREND': 1486, 'RANGE': 60}"
