instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3Pct,atr8Pct,atr13Pct,atr21Pct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middlePositionPct,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maPositionPct,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationWeather,deviationRiskNote,score_breakout,score_trendFollowing,score_meanReversion,score_wait,score_grid
APT-USDT,4H,ok,half_weight,0.7,7698,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2022-10-19 00:00,2026-06-01 16:00,7931,2026-06-01 16:00,0.95,黄偏绿,向上突破,77,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期偏弱,不把短期下偏当买点，等待更强共振,低波动启动,2.7875,45.52,1.7152,92.71,0.7152,振幅已超ATR,46.18,53.82,40.21,3.4151,2.8733,2.7944,2.751,1.2414,1.0444,中值上侧偏离,1.7942,0.6323,53.9271,54.02,233MA下侧偏离,-4.3881,-1.6465,60.9532,65.21,趋势不明,0.7049,up,3,量能正常,1.0901,短期上侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,77,67.52,24,23.22,68
FIL-USDT,4H,ok,half_weight,0.7,11807,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2020-12-03 04:00,2026-06-01 16:00,12040,2026-06-01 16:00,0.97,黄偏红,向下突破,75,高波动扩张 / 振幅已超ATR / 短期上侧偏离 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,高波动扩张,3.3823,67.02,2.1756,96.36,1.1756,振幅已超ATR,61.06,38.94,40.01,4.3149,3.4516,3.3855,3.3498,1.2881,1.0304,中值上侧偏离,1.7889,0.5196,60.4278,56.33,233MA下侧偏离,-2.3832,-0.7218,62.2988,64.99,趋势不明,0.2283,mixed,2,放量,1.8015,短期上侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,75,41.14,28,23.5,30
ETC-USDT,4H,ok,half_weight,0.7,18148,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-01 16:00,18381,2026-06-01 16:00,8.12,黄偏绿,低吸均值回归,32,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,1.6061,12.73,1.4421,85.59,0.4421,振幅已超ATR,48.49,51.51,41.09,1.8479,1.59,1.5974,1.6773,1.1017,0.9479,中值下侧偏离,-0.6366,-0.3989,42.2809,56.67,233MA下侧极端,-8.1939,-5.5572,43.4011,52.24,弱趋势下行,-1.9598,down,4,量能正常,1.1416,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,69,73.8,32,37.67,54
ATOM-USDT,4H,ok,half_weight,0.7,15346,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2019-04-23 08:00,2026-06-01 16:00,15579,2026-06-01 16:00,1.92,黄偏绿,低吸均值回归,38.85,低波动启动 / 接近一倍ATR / 短期下侧偏离 / 大周期偏弱,均值回归可观察，但要服从大周期过滤,低波动启动,2.0863,28.12,1.1752,75.62,0.1752,接近一倍ATR,47.62,52.38,39.2,2.0099,1.9563,2.063,2.224,0.9038,0.8796,中值下侧偏离,-3.1818,-1.5752,22.0773,54.73,233MA下侧偏离,-4.2677,-2.1368,20.5718,63.04,强趋势下行,-6.1684,down,4,量能正常,1.2399,短期下侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,79,100,38.85,18.2,12
INJ-USDT,4H,ok,half_weight,0.7,5254,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2023-11-30 08:00,2026-06-01 16:00,5487,2026-06-01 16:00,7.34,绿,高抛均值回归,49.5,高波动扩张 / 振幅已超ATR / 短期上侧偏离 / 大周期强势高位,均值回归可观察，但要服从大周期过滤,高波动扩张,4.3936,79.88,1.275,79.82,0.275,振幅已超ATR,60.4,39.6,41.62,4.9035,4.4629,4.4075,4.2712,1.148,1.0449,中值上侧偏离,10.522,2.1669,72.0316,53.51,233MA上侧极端,57.9752,8.3529,92.9123,40,强趋势上行,12.5377,up,4,放量,1.851,短期上侧偏离 + 大周期强势高位,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,100,100,49.5,32.04,0
STX-USDT,4H,ok,half_weight,0.7,11260,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2021-03-04 08:00,2026-06-01 16:00,11493,2026-05-31 00:00,0.24,黄,网格震荡天气,84,波动压缩 / 余动能不足 / 短期上侧偏离 / 大周期偏弱,震荡/网格天气较友好，仍需控制突破风险,波动压缩,2.0695,15.5,0.5324,14.64,-0.4676,余动能不足,57.71,42.29,35.74,2.5835,2.3288,2.2795,2.2774,0.6077,0.857,中值上侧偏离,0.858,0.4095,66.7961,51.54,233MA下侧偏离,-2.6598,-1.3153,59.3049,63.7,趋势不明,-1.1769,down,3,缩量,0.1445,短期贴近中轴 + 大周期偏弱,贴近中轴时继续拉伸概率通常更高；未到极端，但大天气仍偏弱,8,,35.54,72.92,84
IMX-USDT,4H,ok,half_weight,0.7,9783,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2021-11-05 12:00,2026-06-01 16:00,10016,2026-06-01 16:00,0.16,黄偏绿,高抛均值回归,36,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期偏弱,均值回归可观察，但要服从大周期过滤,低波动启动,2.6035,20.26,1.8457,94.37,0.8457,振幅已超ATR,49.29,50.71,38.58,3.1584,2.6647,2.6057,2.6111,1.2096,1.0205,中值上侧偏离,1.9535,0.7359,57.1958,52.68,233MA下侧偏离,-5.2506,-2.1285,57.9908,67.64,趋势不明,1.189,mixed,2,放量,1.5899,短期上侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,75,45.94,36,23.36,76
WLD-USDT,4H,ok,half_weight,0.7,6028,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2023-07-24 08:00,2026-06-01 16:00,6261,2026-06-01 16:00,0.43,绿,向上突破,100,高波动扩张 / 振幅已超ATR / 短期过热 / 大周期强势高位,短期回归信号更干净,高波动扩张,5.9749,90.42,2.3218,97.78,1.3218,振幅已超ATR,59.91,40.09,42.12,8.6096,6.6933,6.0635,5.4825,1.5704,1.2209,中值上侧极端,18.5581,2.6198,78.0375,86.52,233MA上侧极端,58.6666,6.1883,84.386,43.5,强趋势上行,29.0863,up,4,放量,3.7616,短期过热 + 大周期强势高位,强趋势里极端可以延续，必须看波动和量能；强势区可以长期维持在 233MA 上方,100,100,75.66,33.44,0
AR-USDT,4H,ok,half_weight,0.7,9489,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2021-12-24 12:00,2026-06-01 16:00,9722,2026-06-01 16:00,2.33,黄,向上突破,59,高波动扩张 / 接近一倍ATR / 短期贴近中轴 / 大周期偏强,观察,高波动扩张,3.9012,65.53,1.113,70.96,0.113,接近一倍ATR,58.96,41.04,37.6,3.5698,3.7009,3.8855,3.8979,0.9158,0.9495,中值贴近中轴,-0.4494,-0.1157,47.2924,10.04,233MA上侧偏离,6.6487,1.598,72.831,58.75,弱趋势上行,2.6895,up,3,缩量,0.6512,短期贴近中轴 + 大周期偏强,贴近中轴时继续拉伸概率通常更高；不是天然做空区域,59,77.45,0,29.16,8
XLM-USDT,4H,ok,half_weight,0.7,18148,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-01 16:00,18381,2026-06-01 16:00,0.25,黄,趋势做空,50,高波动冷却 / 振幅未满ATR / 短期贴近中轴 / 大周期强势高位,趋势天气较友好，等方向和量能确认,高波动冷却,7.4019,97.51,0.6383,26.55,-0.3617,振幅未满ATR,76.92,23.08,30.43,7.1434,7.7768,7.5046,6.5972,1.0828,1.1788,中值贴近中轴,-0.2505,-0.0339,62.1708,7.04,233MA上侧极端,48.8542,4.434,66.7787,45.49,弱趋势混合,10.8962,mixed,2,缩量,0.4148,短期贴近中轴 + 大周期强势高位,贴近中轴时继续拉伸概率通常更高；强势区可以长期维持在 233MA 上方,29,64,2,51.04,20
