indicator,indicatorKey,date,close,value,rankPct,bucket,bucketRange,horizon,futureReturnPct,absReturnPct,maxUpPct,maxDownPct,excursionPct
振幅率,rangePct,2026-01-03,91294,2.1684,20.95,偏低,10-30%,1,2.8645,2.8645,2.953,-0.529,3.4819
振幅率,rangePct,2026-01-03,91294,2.1684,20.95,偏低,10-30%,3,0.0025,0.0025,3.8171,-0.529,4.3461
振幅率,rangePct,2026-01-03,91294,2.1684,20.95,偏低,10-30%,5,-0.1724,0.1724,3.8171,-2.2192,6.0363
振幅率,rangePct,2026-01-03,91294,2.1684,20.95,偏低,10-30%,10,5.9164,5.9164,6.3148,-2.2192,8.534
振幅率,rangePct,2026-04-20,75795.6,2.2289,21.62,偏低,10-30%,1,4.5352,4.5352,4.7228,-1.3583,6.0811
振幅率,rangePct,2026-04-20,75795.6,2.2289,21.62,偏低,10-30%,3,2.9173,2.9173,4.8127,-1.3583,6.1709
振幅率,rangePct,2026-04-20,75795.6,2.2289,21.62,偏低,10-30%,5,2.9152,2.9152,4.8127,-1.3583,6.1709
振幅率,rangePct,2026-04-20,75795.6,2.2289,21.62,偏低,10-30%,10,3.4361,3.4361,4.874,-1.3583,6.2323
振幅率,rangePct,2026-04-29,76416.3,2.2765,22.3,偏低,10-30%,1,2.5959,2.5959,3.2345,-0.4623,3.6969
振幅率,rangePct,2026-04-29,76416.3,2.2765,22.3,偏低,10-30%,3,2.8998,2.8998,3.6073,-0.4623,4.0697
振幅率,rangePct,2026-04-29,76416.3,2.2765,22.3,偏低,10-30%,5,6.6321,6.6321,6.8987,-0.4623,7.361
振幅率,rangePct,2026-04-29,76416.3,2.2765,22.3,偏低,10-30%,10,6.4884,6.4884,8.3538,-0.4623,8.8162
振幅率,rangePct,2026-01-26,87993.8,2.2897,22.97,偏低,10-30%,1,1.6524,1.6524,2.8318,-0.8372,3.669
振幅率,rangePct,2026-01-26,87993.8,2.2897,22.97,偏低,10-30%,3,-5.8363,5.8363,2.961,-8.0411,11.0021
振幅率,rangePct,2026-01-26,87993.8,2.2897,22.97,偏低,10-30%,5,-11.8574,11.8574,2.961,-14.0189,16.9799
振幅率,rangePct,2026-01-26,87993.8,2.2897,22.97,偏低,10-30%,10,-22.0563,22.0563,2.961,-31.9168,34.8778
振幅率,rangePct,2026-01-23,89239.3,2.3053,23.65,偏低,10-30%,1,-0.9228,0.9228,0.2517,-1.3049,1.5566
振幅率,rangePct,2026-01-23,89239.3,2.3053,23.65,偏低,10-30%,3,-1.3957,1.3957,0.2517,-3.5924,3.844
振幅率,rangePct,2026-01-23,89239.3,2.3053,23.65,偏低,10-30%,5,-4.8609,4.8609,1.524,-5.4996,7.0236
振幅率,rangePct,2026-01-23,89239.3,2.3053,23.65,偏低,10-30%,10,-12.4824,12.4824,1.524,-16.4386,17.9626
振幅率,rangePct,2026-05-28,73764.6,2.3623,24.32,偏低,10-30%,1,0.1695,0.1695,0.7245,-0.8565,1.581
振幅率,rangePct,2026-05-25,76474.5,2.3671,25,偏低,10-30%,1,-1.5397,1.5397,0.2813,-2.3073,2.5886
振幅率,rangePct,2026-05-25,76474.5,2.3671,25,偏低,10-30%,3,-3.5435,3.5435,0.2813,-5.2797,5.5609
振幅率,rangePct,2026-04-27,76026.3,2.3702,25.68,偏低,10-30%,1,-0.1761,0.1761,2.4413,-0.47,2.9112
振幅率,rangePct,2026-04-27,76026.3,2.3702,25.68,偏低,10-30%,3,3.1222,3.1222,3.7641,-1.4903,5.2544
振幅率,rangePct,2026-04-27,76026.3,2.3702,25.68,偏低,10-30%,5,3.4276,3.4276,4.1388,-1.4903,5.6291
振幅率,rangePct,2026-04-27,76026.3,2.3702,25.68,偏低,10-30%,10,5.3826,5.3826,8.9097,-1.4903,10.4
振幅率,rangePct,2026-05-24,77591.7,2.3923,26.35,偏低,10-30%,1,-1.4398,1.4398,0.6122,-1.755,2.3671
振幅率,rangePct,2026-05-24,77591.7,2.3923,26.35,偏低,10-30%,3,-6.049,6.049,0.6122,-6.4926,7.1048
振幅率,rangePct,2026-05-24,77591.7,2.3923,26.35,偏低,10-30%,5,-4.7713,4.7713,0.6122,-6.6435,7.2557
振幅率,rangePct,2026-05-11,80286.8,2.4138,27.03,偏低,10-30%,1,-1.8517,1.8517,1.287,-1.8966,3.1836
振幅率,rangePct,2026-05-11,80286.8,2.4138,27.03,偏低,10-30%,3,-1.4568,1.4568,2.1351,-2.1157,4.2508
振幅率,rangePct,2026-05-11,80286.8,2.4138,27.03,偏低,10-30%,5,-2.8438,2.8438,2.1351,-3.3465,5.4816
振幅率,rangePct,2026-05-11,80286.8,2.4138,27.03,偏低,10-30%,10,-4.3865,4.3865,2.1351,-5.3169,7.452
振幅率,rangePct,2026-05-15,78200,2.4394,27.7,偏低,10-30%,1,-0.2512,0.2512,0.4749,-0.6747,1.1496
振幅率,rangePct,2026-05-15,78200,2.4394,27.7,偏低,10-30%,3,-2.1762,2.1762,0.4749,-2.7903,3.2652
振幅率,rangePct,2026-05-15,78200,2.4394,27.7,偏低,10-30%,5,-1.2485,1.2485,0.4749,-2.7903,3.2652
振幅率,rangePct,2026-05-15,78200,2.4394,27.7,偏低,10-30%,10,-2.2065,2.2065,0.4749,-5.1151,5.59
振幅率,rangePct,2026-03-07,67174.9,2.4421,28.38,偏低,10-30%,1,2.4695,2.4695,3.4017,-2.3938,5.7955
振幅率,rangePct,2026-03-07,67174.9,2.4421,28.38,偏低,10-30%,3,4.4947,4.4947,6.8185,-2.3938,9.2122
振幅率,rangePct,2026-03-07,67174.9,2.4421,28.38,偏低,10-30%,5,6.8852,6.8852,9.9618,-2.3938,12.3555
振幅率,rangePct,2026-03-07,67174.9,2.4421,28.38,偏低,10-30%,10,6.3439,6.3439,13.1134,-2.3938,15.5071
振幅率,rangePct,2026-03-20,70588.2,2.4815,29.05,偏低,10-30%,1,-2.519,2.519,0.0493,-3.6652,3.7145
振幅率,rangePct,2026-03-20,70588.2,2.4815,29.05,偏低,10-30%,3,-1.0711,1.0711,1.6841,-4.6475,6.3317
振幅率,rangePct,2026-03-20,70588.2,2.4815,29.05,偏低,10-30%,5,-2.1761,2.1761,1.9845,-4.6475,6.632
振幅率,rangePct,2026-03-20,70588.2,2.4815,29.05,偏低,10-30%,10,-5.5012,5.5012,1.9845,-8.0147,9.9991
振幅率,rangePct,2026-01-08,91136.6,2.5709,29.73,偏低,10-30%,1,-0.5761,0.5761,0.6589,-1.1929,1.8518
振幅率,rangePct,2026-01-08,91136.6,2.5709,29.73,偏低,10-30%,3,0.537,0.537,1.4905,-1.1929,2.6834
振幅率,rangePct,2026-01-08,91136.6,2.5709,29.73,偏低,10-30%,5,6.0993,6.0993,6.4984,-1.1929,7.6913
振幅率,rangePct,2026-01-08,91136.6,2.5709,29.73,偏低,10-30%,10,2.0581,2.0581,7.4212,-1.1929,8.6141
振幅率,rangePct,2026-05-26,75297,2.5886,30.41,中性,30-70%,1,-3.1858,3.1858,0.1171,-3.6429,3.76
振幅率,rangePct,2026-05-26,75297,2.5886,30.41,中性,30-70%,3,-1.8691,1.8691,0.1171,-3.7984,3.9156
振幅率,rangePct,2026-02-20,68575.3,2.6009,31.08,中性,30-70%,1,-1.3352,1.3352,0.0887,-1.9084,1.9971
振幅率,rangePct,2026-02-20,68575.3,2.6009,31.08,中性,30-70%,3,-6.7613,6.7613,0.0887,-9.0051,9.0938
振幅率,rangePct,2026-02-20,68575.3,2.6009,31.08,中性,30-70%,5,-1.7869,1.7869,2.2101,-9.0051,11.2153
振幅率,rangePct,2026-02-20,68575.3,2.6009,31.08,中性,30-70%,10,-1.2955,1.2955,2.2101,-9.0051,11.2153
振幅率,rangePct,2026-01-14,96681,2.6055,31.76,中性,30-70%,1,-2.2044,2.2044,0.3627,-2.502,2.8648
振幅率,rangePct,2026-01-14,96681,2.6055,31.76,中性,30-70%,3,-1.6685,1.6685,0.3627,-2.502,2.8648
振幅率,rangePct,2026-01-14,96681,2.6055,31.76,中性,30-70%,5,-6.2505,6.2505,0.3627,-7.1106,7.4733
振幅率,rangePct,2026-01-14,96681,2.6055,31.76,中性,30-70%,10,-8.5489,8.5489,0.3627,-9.8064,10.1691
振幅率,rangePct,2026-02-17,67670,2.6067,32.43,中性,30-70%,1,-1.9199,1.9199,0.0262,-3.059,3.0851
振幅率,rangePct,2026-02-17,67670,2.6067,32.43,中性,30-70%,3,1.3378,1.3378,1.5011,-3.059,4.5601
振幅率,rangePct,2026-02-17,67670,2.6067,32.43,中性,30-70%,5,-3.013,3.013,1.5011,-5.0805,6.5816
振幅率,rangePct,2026-02-17,67670,2.6067,32.43,中性,30-70%,10,-4.2412,4.2412,3.5775,-7.7878,11.3653
振幅率,rangePct,2026-05-05,81658.3,2.6338,33.11,中性,30-70%,1,-2.1995,2.1995,0.2394,-2.4708,2.7102
振幅率,rangePct,2026-05-05,81658.3,2.6338,33.11,中性,30-70%,3,-1.4372,1.4372,0.2394,-3.11,3.3494
振幅率,rangePct,2026-05-05,81658.3,2.6338,33.11,中性,30-70%,5,-0.3097,0.3097,0.9868,-3.11,4.0968
振幅率,rangePct,2026-05-05,81658.3,2.6338,33.11,中性,30-70%,10,-4.2351,4.2351,0.9868,-4.9699,5.9567
振幅率,rangePct,2026-04-09,72418.3,2.6338,33.78,中性,30-70%,1,0.5638,0.5638,1.4278,-0.0965,1.5243
振幅率,rangePct,2026-04-09,72418.3,2.6338,33.78,中性,30-70%,3,-0.8108,0.8108,1.9067,-2.7097,4.6164
振幅率,rangePct,2026-04-09,72418.3,2.6338,33.78,中性,30-70%,5,1.9113,1.9113,4.9458,-2.7097,7.6555
振幅率,rangePct,2026-04-09,72418.3,2.6338,33.78,中性,30-70%,10,4.4899,4.4899,8.1536,-2.7097,10.8633
振幅率,rangePct,2026-01-01,89370,2.6446,34.46,中性,30-70%,1,0.6259,0.6259,1.7515,-0.2352,1.9867
振幅率,rangePct,2026-01-01,89370,2.6446,34.46,中性,30-70%,3,5.079,5.079,5.1694,-0.2352,5.4046
振幅率,rangePct,2026-01-01,89370,2.6446,34.46,中性,30-70%,5,2.1554,2.1554,6.0521,-0.2352,6.2873
振幅率,rangePct,2026-01-01,89370,2.6446,34.46,中性,30-70%,10,2.5243,2.5243,6.0521,-0.2352,6.2873
振幅率,rangePct,2026-05-04,81484.3,2.6458,35.14,中性,30-70%,1,0.2135,0.2135,1.6147,-1.0191,2.6338
振幅率,rangePct,2026-05-04,81484.3,2.6458,35.14,中性,30-70%,3,-1.6762,1.6762,1.6147,-2.9031,4.5178
振幅率,rangePct,2026-05-04,81484.3,2.6458,35.14,中性,30-70%,5,-0.1347,0.1347,1.6147,-2.9031,4.5178
振幅率,rangePct,2026-05-04,81484.3,2.6458,35.14,中性,30-70%,10,-2.905,2.905,1.6147,-3.5542,5.1688
振幅率,rangePct,2026-01-11,91626,2.676,35.81,中性,30-70%,1,1.9494,1.9494,1.9553,-0.812,2.7673
振幅率,rangePct,2026-01-11,91626,2.676,35.81,中性,30-70%,3,5.517,5.517,6.8474,-0.812,7.6594
振幅率,rangePct,2026-01-11,91626,2.676,35.81,中性,30-70%,5,4.2494,4.2494,6.8474,-0.812,7.6594
振幅率,rangePct,2026-01-11,91626,2.676,35.81,中性,30-70%,10,-2.914,2.914,6.8474,-4.8304,11.6778
振幅率,rangePct,2026-04-08,72105.7,2.6825,36.49,中性,30-70%,1,0.4335,0.4335,1.6397,-0.9941,2.6338
振幅率,rangePct,2026-04-08,72105.7,2.6825,36.49,中性,30-70%,3,-1.7144,1.7144,2.3485,-2.1298,4.4783
振幅率,rangePct,2026-04-08,72105.7,2.6825,36.49,中性,30-70%,5,4.4028,4.4028,5.4008,-2.2879,7.6887
振幅率,rangePct,2026-04-08,72105.7,2.6825,36.49,中性,30-70%,10,5.1329,5.1329,8.6225,-2.2879,10.9104
