date,routeKey,routeLabel,family,direction,score,scoreBucket,horizon,close,weatherLabels,reasons,success,directionalWin,routeReturnPct,futureReturnPct,absReturnPct,maxUpPct,maxDownPct,futureRangePct,atrPct,volatilityMultiple,atr3To21,volumeMultiple,trendScore,middleDeviationAtr,maDeviationAtr
2026-01-02,waitDefense,防守等待,wait,neutral,64.48,中适配,10,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,波动压缩，等待确认 | 短波动降温 | MA位置极端，等待结构修复 | 剩余动能不足,0,,0,3.8729,3.8729,5.3598,-0.7153,6.0752,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,meanReversionShort,高抛均值回归,meanReversion,short,46.72,低适配,1,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,中值上侧偏离 | 短波动降温，回归环境加权,0,0,-1.5133,1.5133,1.5133,2.0547,-0.0552,2.1099,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,meanReversionShort,高抛均值回归,meanReversion,short,46.72,低适配,3,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,中值上侧偏离 | 短波动降温，回归环境加权,0,0,-4.0865,4.0865,4.0865,5.3598,-0.0552,5.4151,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,meanReversionShort,高抛均值回归,meanReversion,short,46.72,低适配,5,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,中值上侧偏离 | 短波动降温，回归环境加权,1,0,-0.9104,0.9104,0.9104,5.3598,-0.7153,6.0752,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,meanReversionShort,高抛均值回归,meanReversion,short,46.72,低适配,10,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,中值上侧偏离 | 短波动降温，回归环境加权,0,0,-3.8729,3.8729,3.8729,5.3598,-0.7153,6.0752,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,breakoutDown,向下突破,breakout,short,25,不适配,1,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,波动压缩，具备等待突破结构,0,0,0.0552,1.5133,1.5133,2.0547,-0.0552,2.1099,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,breakoutDown,向下突破,breakout,short,25,不适配,3,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,波动压缩，具备等待突破结构,0,0,0.0552,4.0865,4.0865,5.3598,-0.0552,5.4151,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,breakoutDown,向下突破,breakout,short,25,不适配,5,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,波动压缩，具备等待突破结构,0,0,0.7153,0.9104,0.9104,5.3598,-0.7153,6.0752,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,breakoutDown,向下突破,breakout,short,25,不适配,10,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,波动压缩，具备等待突破结构,0,0,0.7153,3.8729,3.8729,5.3598,-0.7153,6.0752,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
2026-01-02,breakoutUp,向上突破,breakout,long,19,不适配,1,89971.4,波动:波动压缩 | 短波动:短波动降温 | 中值位置:中值上侧偏离 | MA位置:MA下侧极端 | 趋势:弱趋势混合 | 量能:量能正常 | 动能:剩余动能不足,波动压缩，具备等待突破结构,0,1,2.0547,1.5133,1.5133,2.0547,-0.0552,2.1099,2.81,0.7004,0.6574,0.9093,1.5446,0.9008,-6.6526
